epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1466.38,5.14787,0.28716,0.54192,3.37075,0.2,0.2,0.2
2,2926.09,3.2245,0.49014,0.7398,2.25476,0.199988,0.199988,0.199988
3,4386.66,2.64415,0.56172,0.7991,1.87186,0.199951,0.199951,0.199951
4,5850.97,2.39394,0.58224,0.81618,1.76949,0.19989,0.19989,0.19989
5,7313.66,2.25563,0.58624,0.8173,1.7589,0.199805,0.199805,0.199805
6,8776.23,2.16842,0.5792,0.81372,1.78927,0.199695,0.199695,0.199695
7,10238.2,2.10795,0.57538,0.81202,1.80626,0.199561,0.199561,0.199561
8,11698.8,2.06382,0.57792,0.81496,1.78811,0.199402,0.199402,0.199402
9,13160.6,2.02897,0.5902,0.82402,1.72928,0.199219,0.199219,0.199219
10,14621.3,1.99861,0.60476,0.83516,1.65145,0.199012,0.199012,0.199012
11,16083.5,1.97809,0.62,0.84604,1.57502,0.198781,0.198781,0.198781
12,17545.1,1.95941,0.63122,0.85464,1.51567,0.198526,0.198526,0.198526
13,19005.8,1.93987,0.64152,0.86152,1.46475,0.198246,0.198246,0.198246
14,20467.8,1.92615,0.65136,0.86692,1.42305,0.197943,0.197943,0.197943
15,21930.4,1.91129,0.65796,0.87106,1.39298,0.197616,0.197616,0.197616
16,23391.4,1.89991,0.66324,0.87424,1.36663,0.197265,0.197265,0.197265
17,24853.1,1.89093,0.66798,0.87642,1.34829,0.19689,0.19689,0.19689
18,26315.2,1.88002,0.67078,0.8789,1.33115,0.196491,0.196491,0.196491
19,27777.3,1.8726,0.67362,0.88158,1.31627,0.196069,0.196069,0.196069
20,29239.8,1.86352,0.67644,0.88268,1.30209,0.195624,0.195624,0.195624
21,30700.5,1.85645,0.67918,0.88466,1.29021,0.195155,0.195155,0.195155
22,32163.9,1.84793,0.68126,0.88596,1.28048,0.194662,0.194662,0.194662
23,33625.4,1.84184,0.68368,0.88674,1.27282,0.194147,0.194147,0.194147
24,35087.1,1.83594,0.68484,0.88792,1.2657,0.193609,0.193609,0.193609
25,36548.3,1.82924,0.68684,0.88914,1.25877,0.193048,0.193048,0.193048
26,38010.1,1.82269,0.68726,0.88916,1.25216,0.192464,0.192464,0.192464
27,39471.1,1.81728,0.68916,0.8897,1.24573,0.191858,0.191858,0.191858
28,40944.9,1.81244,0.6905,0.89108,1.24077,0.191229,0.191229,0.191229
29,42424.2,1.80723,0.6918,0.8915,1.23597,0.190578,0.190578,0.190578
30,43907.9,1.8023,0.6932,0.89224,1.23201,0.189905,0.189905,0.189905
31,45389.8,1.79704,0.69362,0.8926,1.22664,0.18921,0.18921,0.18921
32,46862.8,1.79254,0.69576,0.8935,1.22172,0.188493,0.188493,0.188493
33,48324.3,1.78773,0.6957,0.89428,1.2198,0.187754,0.187754,0.187754
34,49783.3,1.78113,0.69616,0.89494,1.21603,0.186995,0.186995,0.186995
35,51244.3,1.77716,0.6977,0.89548,1.21287,0.186213,0.186213,0.186213
36,52708.2,1.77254,0.69806,0.89536,1.21018,0.185411,0.185411,0.185411
37,54170.7,1.76968,0.6994,0.89592,1.20382,0.184588,0.184588,0.184588
38,55631.5,1.764,0.7004,0.89704,1.20116,0.183745,0.183745,0.183745
39,57093,1.75902,0.7023,0.89748,1.19593,0.182881,0.182881,0.182881
