epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1241.26,4.51826,0.34066,0.6027,3.04516,0.2,0.2,0.2
2,2476.2,3.01505,0.51118,0.75768,2.13707,0.199988,0.199988,0.199988
3,3706.44,2.55152,0.57194,0.80844,1.8164,0.199951,0.199951,0.199951
4,4941.12,2.34534,0.59098,0.8215,1.72256,0.19989,0.19989,0.19989
5,6173.67,2.22859,0.5961,0.82654,1.70123,0.199805,0.199805,0.199805
6,7406.42,2.15467,0.5978,0.82646,1.69617,0.199695,0.199695,0.199695
7,8637.91,2.10018,0.59894,0.82858,1.68616,0.199561,0.199561,0.199561
8,9872.42,2.06042,0.60532,0.83316,1.66211,0.199402,0.199402,0.199402
9,11105,2.02747,0.61268,0.8384,1.62147,0.199219,0.199219,0.199219
10,12338.2,2.00264,0.62154,0.84494,1.57418,0.199012,0.199012,0.199012
11,13571.1,1.98331,0.6307,0.85238,1.5232,0.198781,0.198781,0.198781
12,14806.5,1.96624,0.63912,0.85866,1.47881,0.198526,0.198526,0.198526
13,16036.8,1.95031,0.64816,0.86442,1.44114,0.198246,0.198246,0.198246
14,17268.8,1.9379,0.65482,0.86814,1.41018,0.197943,0.197943,0.197943
15,18499.2,1.92567,0.65994,0.87226,1.38411,0.197616,0.197616,0.197616
16,19727.8,1.91467,0.66312,0.87484,1.36355,0.197265,0.197265,0.197265
17,20958.3,1.90928,0.6676,0.87636,1.34761,0.19689,0.19689,0.19689
18,22200.8,1.89815,0.67124,0.87916,1.33288,0.196491,0.196491,0.196491
19,23433.8,1.89125,0.67368,0.87984,1.32027,0.196069,0.196069,0.196069
20,24673.5,1.88488,0.67536,0.88238,1.31104,0.195624,0.195624,0.195624
21,25905.6,1.87948,0.67584,0.8831,1.30196,0.195155,0.195155,0.195155
22,27138.7,1.87148,0.6788,0.88442,1.29442,0.194662,0.194662,0.194662
23,28371.4,1.86544,0.68032,0.8848,1.28939,0.194147,0.194147,0.194147
24,29606.9,1.86145,0.6811,0.88572,1.2852,0.193609,0.193609,0.193609
25,30837.8,1.85465,0.68242,0.88614,1.27926,0.193048,0.193048,0.193048
26,32071.4,1.84777,0.68338,0.88726,1.27253,0.192464,0.192464,0.192464
27,33309,1.84455,0.6856,0.88808,1.26757,0.191858,0.191858,0.191858
28,34543.1,1.83926,0.68692,0.88868,1.2627,0.191229,0.191229,0.191229
29,35777.5,1.83401,0.68776,0.8889,1.25787,0.190578,0.190578,0.190578
30,37014,1.82919,0.68926,0.89022,1.25368,0.189905,0.189905,0.189905
31,38249.1,1.82525,0.69006,0.89154,1.24667,0.18921,0.18921,0.18921
32,39484.2,1.81928,0.6905,0.89172,1.24363,0.188493,0.188493,0.188493
33,40754,1.81671,0.69074,0.89176,1.24029,0.187754,0.187754,0.187754
34,42069.8,1.81113,0.69202,0.8923,1.23771,0.186995,0.186995,0.186995
35,43381.2,1.80866,0.6927,0.8924,1.23507,0.186213,0.186213,0.186213
36,44709.8,1.80436,0.69336,0.89276,1.23055,0.185411,0.185411,0.185411
37,46034.4,1.79919,0.69478,0.8941,1.2253,0.184588,0.184588,0.184588
38,47294.2,1.79557,0.69564,0.89398,1.22267,0.183745,0.183745,0.183745
39,48530.1,1.79136,0.69622,0.89498,1.21946,0.182881,0.182881,0.182881
40,49765.7,1.78861,0.69602,0.89502,1.21856,0.181997,0.181997,0.181997
41,51000.9,1.78297,0.69636,0.89578,1.21737,0.181093,0.181093,0.181093
42,52235.6,1.77817,0.69666,0.89576,1.21344,0.180169,0.180169,0.180169
43,53471.4,1.7738,0.6971,0.89556,1.21056,0.179225,0.179225,0.179225
44,54703.6,1.76981,0.6984,0.89636,1.20689,0.178263,0.178263,0.178263
45,55936.1,1.76567,0.6987,0.89716,1.20265,0.177281,0.177281,0.177281
46,57172,1.76127,0.6991,0.8975,1.19988,0.17628,0.17628,0.17628
47,58409.6,1.7573,0.70062,0.8978,1.19675,0.175261,0.175261,0.175261
48,59645.2,1.75377,0.70096,0.8984,1.19398,0.174223,0.174223,0.174223
49,60877.5,1.74765,0.70246,0.89862,1.19008,0.173168,0.173168,0.173168
50,62113.7,1.74345,0.70306,0.89836,1.18798,0.172095,0.172095,0.172095
51,63350.3,1.74045,0.70316,0.89822,1.18597,0.171004,0.171004,0.171004
52,64585.4,1.73567,0.70362,0.89926,1.18295,0.169895,0.169895,0.169895
53,65817.9,1.73106,0.70488,0.899,1.17972,0.16877,0.16877,0.16877
54,67051.1,1.72841,0.70602,0.899,1.17607,0.167628,0.167628,0.167628
55,68283.6,1.72503,0.70598,0.89964,1.17403,0.16647,0.16647,0.16647
56,69517.4,1.71696,0.70716,0.89986,1.17132,0.165295,0.165295,0.165295
57,70752,1.71282,0.70792,0.90006,1.16924,0.164105,0.164105,0.164105
58,71987.1,1.70914,0.70814,0.90046,1.16655,0.162899,0.162899,0.162899
59,73220.3,1.70429,0.70954,0.90112,1.16397,0.161678,0.161678,0.161678
60,74454.4,1.70074,0.70994,0.9013,1.16094,0.160442,0.160442,0.160442
61,75690.5,1.69386,0.70942,0.90188,1.15855,0.159191,0.159191,0.159191
62,76925.5,1.69149,0.71034,0.90274,1.15604,0.157926,0.157926,0.157926
63,78159.3,1.68743,0.71064,0.90298,1.15403,0.156646,0.156646,0.156646
64,79394.3,1.68197,0.7104,0.90268,1.15122,0.155353,0.155353,0.155353
65,80625.7,1.67884,0.71206,0.90384,1.14856,0.154047,0.154047,0.154047
66,81861.4,1.67098,0.71348,0.90404,1.14464,0.152727,0.152727,0.152727
67,83092.4,1.6659,0.71358,0.90506,1.14257,0.151395,0.151395,0.151395
68,84326.9,1.66142,0.71454,0.90518,1.13906,0.15005,0.15005,0.15005
69,85562.6,1.659,0.71366,0.90502,1.13625,0.148694,0.148694,0.148694
70,86802.7,1.65274,0.7152,0.9061,1.1334,0.147325,0.147325,0.147325
71,88037.8,1.64628,0.71498,0.90618,1.13012,0.145945,0.145945,0.145945
72,89269.9,1.64031,0.7164,0.9071,1.12737,0.144554,0.144554,0.144554
73,90501.8,1.63846,0.71676,0.90774,1.12431,0.143152,0.143152,0.143152
74,91736.5,1.6312,0.71746,0.90732,1.12125,0.14174,0.14174,0.14174
75,92969,1.6241,0.71816,0.90724,1.11805,0.140318,0.140318,0.140318
76,94203.3,1.6217,0.719,0.90846,1.11651,0.138886,0.138886,0.138886
77,95439.4,1.61512,0.71974,0.9083,1.11397,0.137444,0.137444,0.137444
78,96674.1,1.60978,0.7207,0.90892,1.11153,0.135994,0.135994,0.135994
79,97905.7,1.60399,0.72074,0.909,1.10886,0.134535,0.134535,0.134535
80,99139.8,1.59723,0.72174,0.90932,1.10767,0.133068,0.133068,0.133068
81,100370,1.5945,0.72204,0.90964,1.10371,0.131593,0.131593,0.131593
82,101602,1.58397,0.72232,0.91028,1.09977,0.13011,0.13011,0.13011
83,102838,1.5803,0.7228,0.91034,1.09548,0.12862,0.12862,0.12862
84,104071,1.57356,0.72464,0.91034,1.09258,0.127123,0.127123,0.127123
85,105304,1.56903,0.72496,0.91112,1.09051,0.12562,0.12562,0.12562
86,106538,1.56473,0.72544,0.9114,1.08926,0.124111,0.124111,0.124111
87,107773,1.55863,0.72704,0.91168,1.08518,0.122596,0.122596,0.122596
88,109008,1.55089,0.72666,0.91266,1.08214,0.121076,0.121076,0.121076
89,110241,1.54438,0.72624,0.91292,1.07875,0.119551,0.119551,0.119551
90,111475,1.53663,0.7275,0.9134,1.07602,0.118021,0.118021,0.118021
91,112710,1.53387,0.72844,0.91394,1.07513,0.116487,0.116487,0.116487
92,113942,1.52484,0.7289,0.91334,1.07121,0.114949,0.114949,0.114949
93,115174,1.51941,0.72986,0.91424,1.06781,0.113408,0.113408,0.113408
94,116406,1.51133,0.73176,0.91438,1.06374,0.111864,0.111864,0.111864
95,117639,1.50566,0.73262,0.91528,1.06121,0.110317,0.110317,0.110317
96,118873,1.49991,0.73218,0.91514,1.05913,0.108767,0.108767,0.108767
97,120108,1.49149,0.73286,0.91498,1.05516,0.107216,0.107216,0.107216
98,121346,1.48423,0.73306,0.91518,1.05331,0.105664,0.105664,0.105664
99,122578,1.47889,0.73484,0.91604,1.04844,0.10411,0.10411,0.10411
100,123813,1.47083,0.7353,0.91712,1.0456,0.102555,0.102555,0.102555
101,125047,1.46413,0.73538,0.91734,1.04146,0.101,0.101,0.101
102,126282,1.45829,0.737,0.91792,1.03856,0.099445,0.099445,0.099445
103,127516,1.45069,0.73842,0.9186,1.03402,0.0978903,0.0978903,0.0978903
104,128751,1.44137,0.73896,0.9194,1.03044,0.0963365,0.0963365,0.0963365
105,129985,1.43595,0.7405,0.92026,1.02853,0.0947837,0.0947837,0.0947837
106,131220,1.42761,0.74046,0.92034,1.02398,0.0932325,0.0932325,0.0932325
107,132452,1.41943,0.74098,0.92094,1.0211,0.0916833,0.0916833,0.0916833
108,133687,1.41467,0.74138,0.92106,1.0158,0.0901363,0.0901363,0.0901363
109,134923,1.40471,0.74348,0.92122,1.01278,0.088592,0.088592,0.088592
110,136159,1.39602,0.7444,0.92172,1.0087,0.0870508,0.0870508,0.0870508
111,137396,1.38983,0.74464,0.92282,1.00592,0.085513,0.085513,0.085513
112,138631,1.38039,0.74548,0.92258,1.00389,0.083979,0.083979,0.083979
113,139863,1.37532,0.7457,0.92296,1.00109,0.0824492,0.0824492,0.0824492
114,141098,1.36468,0.74604,0.92314,0.99815,0.0809241,0.0809241,0.0809241
115,142330,1.35752,0.74724,0.92354,0.9949,0.0794038,0.0794038,0.0794038
116,143566,1.34801,0.74826,0.92436,0.99106,0.0778889,0.0778889,0.0778889
117,144804,1.33926,0.74958,0.92442,0.98713,0.0763797,0.0763797,0.0763797
118,146039,1.33398,0.75064,0.9252,0.98402,0.0748766,0.0748766,0.0748766
119,147273,1.32391,0.75162,0.92564,0.97879,0.0733799,0.0733799,0.0733799
120,148507,1.31542,0.75242,0.92618,0.97598,0.07189,0.07189,0.07189
121,149743,1.30544,0.753,0.92658,0.97143,0.0704073,0.0704073,0.0704073
122,150979,1.29721,0.75344,0.92784,0.96729,0.0689322,0.0689322,0.0689322
123,152219,1.28879,0.75464,0.92768,0.96494,0.0674649,0.0674649,0.0674649
124,153458,1.27814,0.75508,0.92826,0.96156,0.066006,0.066006,0.066006
125,154691,1.27054,0.7548,0.9277,0.95867,0.0645557,0.0645557,0.0645557
126,155924,1.26138,0.75696,0.92856,0.95439,0.0631143,0.0631143,0.0631143
127,157159,1.25294,0.75654,0.92924,0.95005,0.0616824,0.0616824,0.0616824
128,158395,1.24418,0.75738,0.92948,0.94756,0.0602601,0.0602601,0.0602601
129,159630,1.23325,0.75982,0.9297,0.94374,0.0588479,0.0588479,0.0588479
130,160864,1.22424,0.76098,0.93106,0.93871,0.057446,0.057446,0.057446
131,162100,1.21407,0.76098,0.9313,0.9365,0.0560549,0.0560549,0.0560549
132,163336,1.205,0.76162,0.9309,0.93408,0.0546749,0.0546749,0.0546749
133,164575,1.19528,0.762,0.93154,0.93107,0.0533064,0.0533064,0.0533064
134,165808,1.18466,0.7621,0.93198,0.92747,0.0519496,0.0519496,0.0519496
135,167044,1.17683,0.76302,0.93264,0.92362,0.0506049,0.0506049,0.0506049
136,168282,1.16539,0.76398,0.93312,0.92096,0.0492726,0.0492726,0.0492726
137,169516,1.1551,0.76396,0.93346,0.91677,0.0479531,0.0479531,0.0479531
138,170752,1.14348,0.76534,0.93444,0.91359,0.0466467,0.0466467,0.0466467
139,171985,1.13287,0.76594,0.93438,0.90954,0.0453537,0.0453537,0.0453537
140,173225,1.12276,0.76596,0.93506,0.90538,0.0440745,0.0440745,0.0440745
141,174462,1.11224,0.76794,0.93538,0.90262,0.0428093,0.0428093,0.0428093
142,175692,1.10256,0.76792,0.93554,0.90065,0.0415584,0.0415584,0.0415584
143,176929,1.09255,0.76974,0.9364,0.89765,0.0403222,0.0403222,0.0403222
144,178164,1.08087,0.77006,0.9366,0.89298,0.039101,0.039101,0.039101
145,179398,1.06749,0.77034,0.93702,0.88801,0.037895,0.037895,0.037895
146,180632,1.05729,0.77148,0.93704,0.88805,0.0367046,0.0367046,0.0367046
147,181869,1.04524,0.77296,0.93762,0.88625,0.0355301,0.0355301,0.0355301
148,183103,1.03345,0.77356,0.93764,0.88332,0.0343718,0.0343718,0.0343718
149,184338,1.02321,0.77338,0.9385,0.87853,0.0332298,0.0332298,0.0332298
150,185571,1.0103,0.77534,0.93878,0.87594,0.0321046,0.0321046,0.0321046
151,186805,0.99672,0.775,0.93904,0.87355,0.0309964,0.0309964,0.0309964
152,188040,0.98594,0.77576,0.9388,0.87096,0.0299055,0.0299055,0.0299055
153,189272,0.97502,0.77638,0.93974,0.86807,0.0288321,0.0288321,0.0288321
154,190506,0.95974,0.7783,0.94022,0.86444,0.0277765,0.0277765,0.0277765
155,191740,0.94915,0.77912,0.94084,0.86178,0.026739,0.026739,0.026739
156,192975,0.9361,0.77914,0.94116,0.85742,0.0257198,0.0257198,0.0257198
157,194208,0.92429,0.77994,0.94094,0.85599,0.0247192,0.0247192,0.0247192
158,195445,0.91105,0.78058,0.9413,0.85334,0.0237374,0.0237374,0.0237374
159,196683,0.89849,0.7816,0.94172,0.84962,0.0227747,0.0227747,0.0227747
160,197917,0.88313,0.78122,0.94214,0.84662,0.0218312,0.0218312,0.0218312
161,199150,0.87015,0.7819,0.94226,0.84454,0.0209073,0.0209073,0.0209073
162,200387,0.85666,0.78202,0.94222,0.84354,0.0200032,0.0200032,0.0200032
163,201622,0.84169,0.78274,0.94268,0.84262,0.019119,0.019119,0.019119
164,202858,0.82881,0.78374,0.9424,0.84171,0.0182551,0.0182551,0.0182551
165,204096,0.81452,0.78442,0.94282,0.84032,0.0174115,0.0174115,0.0174115
166,205332,0.80019,0.78428,0.94334,0.83865,0.0165886,0.0165886,0.0165886
167,206562,0.78549,0.78464,0.94384,0.83839,0.0157865,0.0157865,0.0157865
168,207798,0.77031,0.78486,0.94406,0.83685,0.0150055,0.0150055,0.0150055
169,209029,0.75636,0.78534,0.94424,0.83514,0.0142456,0.0142456,0.0142456
170,210262,0.74108,0.785,0.94464,0.83474,0.0135072,0.0135072,0.0135072
171,211494,0.72537,0.78488,0.94462,0.83538,0.0127904,0.0127904,0.0127904
172,212727,0.71111,0.78534,0.9443,0.8351,0.0120953,0.0120953,0.0120953
173,213962,0.69587,0.78572,0.94458,0.83477,0.0114221,0.0114221,0.0114221
174,215197,0.68139,0.78666,0.9448,0.83375,0.0107711,0.0107711,0.0107711
175,216431,0.66491,0.78652,0.94458,0.83384,0.0101423,0.0101423,0.0101423
176,217661,0.64961,0.78708,0.94436,0.83569,0.00953593,0.00953593,0.00953593
177,218897,0.63291,0.78624,0.94462,0.83631,0.00895213,0.00895213,0.00895213
178,220132,0.61959,0.7879,0.94426,0.83704,0.00839104,0.00839104,0.00839104
179,221364,0.60252,0.78784,0.94394,0.83753,0.0078528,0.0078528,0.0078528
180,222597,0.58678,0.78794,0.94408,0.83993,0.00733755,0.00733755,0.00733755
181,223830,0.57091,0.78732,0.94372,0.84073,0.0068454,0.0068454,0.0068454
182,225062,0.5575,0.78684,0.94392,0.8417,0.00637649,0.00637649,0.00637649
183,226298,0.54284,0.78666,0.944,0.84403,0.00593093,0.00593093,0.00593093
184,227530,0.528,0.78718,0.9437,0.84451,0.00550882,0.00550882,0.00550882
185,228769,0.51185,0.78658,0.9437,0.84601,0.00511027,0.00511027,0.00511027
186,230007,0.49799,0.78592,0.94382,0.84808,0.00473538,0.00473538,0.00473538
187,231241,0.48428,0.7864,0.94352,0.84937,0.00438424,0.00438424,0.00438424
188,232480,0.47217,0.78558,0.94332,0.85199,0.00405694,0.00405694,0.00405694
189,233717,0.45862,0.78498,0.94334,0.85584,0.00375356,0.00375356,0.00375356
190,234953,0.44644,0.78364,0.94292,0.8591,0.00347418,0.00347418,0.00347418
191,236209,0.43394,0.78398,0.94276,0.86176,0.00321885,0.00321885,0.00321885
192,237460,0.42181,0.7843,0.9431,0.86498,0.00298766,0.00298766,0.00298766
