epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,850.605,4.77197,0.26832,0.51182,3.54446,0.2,0.2,0.2
2,1686.59,3.56493,0.4107,0.66258,2.71385,0.199988,0.199988,0.199988
3,2518.18,3.12984,0.47494,0.71948,2.36621,0.199951,0.199951,0.199951
4,3350.1,2.89535,0.4914,0.735,2.27573,0.19989,0.19989,0.19989
5,4184.16,2.74624,0.49104,0.73508,2.28264,0.199805,0.199805,0.199805
6,5011.87,2.65053,0.48284,0.73028,2.32462,0.199695,0.199695,0.199695
7,5842.96,2.58463,0.47962,0.73004,2.34449,0.199561,0.199561,0.199561
8,6676.1,2.53651,0.48956,0.74026,2.28805,0.199402,0.199402,0.199402
9,7508.82,2.49952,0.50228,0.75124,2.21361,0.199219,0.199219,0.199219
10,8337.19,2.46799,0.51684,0.7633,2.1327,0.199012,0.199012,0.199012
11,9164.89,2.44492,0.52802,0.77272,2.06712,0.198781,0.198781,0.198781
12,10000.3,2.42128,0.5387,0.78182,2.00862,0.198526,0.198526,0.198526
13,10829.5,2.40402,0.54712,0.7883,1.95588,0.198246,0.198246,0.198246
14,11657.6,2.38897,0.55766,0.79438,1.90722,0.197943,0.197943,0.197943
15,12486.4,2.37378,0.56676,0.80152,1.86474,0.197616,0.197616,0.197616
16,13319,2.36218,0.57218,0.80692,1.82948,0.197265,0.197265,0.197265
17,14149.2,2.35399,0.58004,0.81176,1.79625,0.19689,0.19689,0.19689
18,14983.3,2.3445,0.58618,0.81618,1.76409,0.196491,0.196491,0.196491
19,15821.2,2.33553,0.59086,0.82098,1.73734,0.196069,0.196069,0.196069
20,16653.7,2.32699,0.59522,0.82434,1.71783,0.195624,0.195624,0.195624
21,17488.4,2.32353,0.5966,0.8263,1.70124,0.195155,0.195155,0.195155
22,18321.7,2.31307,0.59902,0.8286,1.68842,0.194662,0.194662,0.194662
23,19152.6,2.31017,0.60202,0.83002,1.67619,0.194147,0.194147,0.194147
24,19989.4,2.30186,0.60352,0.831,1.66763,0.193609,0.193609,0.193609
25,20826.4,2.29759,0.60616,0.8317,1.65924,0.193048,0.193048,0.193048
26,21662.3,2.28947,0.60606,0.83244,1.65351,0.192464,0.192464,0.192464
27,22491.8,2.28418,0.60818,0.83344,1.64611,0.191858,0.191858,0.191858
28,23325.6,2.27937,0.60868,0.8334,1.64059,0.191229,0.191229,0.191229
29,24156.3,2.27311,0.61014,0.83456,1.63495,0.190578,0.190578,0.190578
30,24985,2.26838,0.6123,0.8352,1.6291,0.189905,0.189905,0.189905
31,25816.6,2.26315,0.6127,0.83712,1.62288,0.18921,0.18921,0.18921
32,26644.9,2.25663,0.61314,0.83772,1.61899,0.188493,0.188493,0.188493
33,27477.3,2.25434,0.61414,0.83812,1.6133,0.187754,0.187754,0.187754
34,28306.9,2.24975,0.61494,0.839,1.60699,0.186995,0.186995,0.186995
35,29141.8,2.24544,0.61676,0.84044,1.60253,0.186213,0.186213,0.186213
36,29973.2,2.24194,0.61806,0.84128,1.5962,0.185411,0.185411,0.185411
37,30806.5,2.23615,0.61822,0.84198,1.58919,0.184588,0.184588,0.184588
38,31636.5,2.23171,0.61782,0.84236,1.58562,0.183745,0.183745,0.183745
39,32464,2.22778,0.62024,0.84282,1.58183,0.182881,0.182881,0.182881
40,33296.8,2.22459,0.62074,0.84336,1.57943,0.181997,0.181997,0.181997
41,34130,2.22041,0.62258,0.84358,1.57664,0.181093,0.181093,0.181093
42,34965.7,2.21577,0.62286,0.84478,1.57132,0.180169,0.180169,0.180169
43,35796.1,2.21066,0.62438,0.84478,1.56765,0.179225,0.179225,0.179225
44,36631,2.20806,0.6254,0.8449,1.56449,0.178263,0.178263,0.178263
45,37457.2,2.20481,0.62472,0.84624,1.56105,0.177281,0.177281,0.177281
46,38286.4,2.20037,0.62552,0.84588,1.55882,0.17628,0.17628,0.17628
47,39117.8,2.19545,0.62736,0.84614,1.55522,0.175261,0.175261,0.175261
48,39951.1,2.19181,0.62758,0.84734,1.55299,0.174223,0.174223,0.174223
49,40775.7,2.18884,0.6281,0.84678,1.55068,0.173168,0.173168,0.173168
50,41607.4,2.18223,0.62774,0.84722,1.54809,0.172095,0.172095,0.172095
51,42439.2,2.18152,0.62682,0.84814,1.54542,0.171004,0.171004,0.171004
52,43270.2,2.17451,0.62826,0.84846,1.54134,0.169895,0.169895,0.169895
53,44102,2.17216,0.62806,0.84826,1.53846,0.16877,0.16877,0.16877
54,44930.7,2.16859,0.62842,0.84936,1.5351,0.167628,0.167628,0.167628
55,45763.6,2.16455,0.62988,0.84978,1.53256,0.16647,0.16647,0.16647
56,46595.8,2.15982,0.6317,0.85016,1.52992,0.165295,0.165295,0.165295
57,47432.9,2.15592,0.63224,0.84988,1.52794,0.164105,0.164105,0.164105
58,48264.6,2.15298,0.63198,0.85058,1.52548,0.162899,0.162899,0.162899
59,49098.6,2.14596,0.63232,0.85134,1.52377,0.161678,0.161678,0.161678
60,49930.9,2.14251,0.6327,0.8515,1.52031,0.160442,0.160442,0.160442
61,50761.3,2.14031,0.63414,0.85258,1.51707,0.159191,0.159191,0.159191
62,51587.8,2.13278,0.63372,0.85282,1.51497,0.157926,0.157926,0.157926
63,52453.7,2.13219,0.63342,0.85262,1.51222,0.156646,0.156646,0.156646
64,53331.6,2.12949,0.6339,0.85326,1.51012,0.155353,0.155353,0.155353
65,54262.5,2.12119,0.63464,0.8543,1.50689,0.154047,0.154047,0.154047
66,55199.9,2.11641,0.63598,0.8546,1.50395,0.152727,0.152727,0.152727
67,56146.3,2.11076,0.63642,0.8545,1.50235,0.151395,0.151395,0.151395
68,57075.3,2.10664,0.6377,0.85522,1.49822,0.15005,0.15005,0.15005
69,58016.7,2.10116,0.63836,0.85546,1.49502,0.148694,0.148694,0.148694
70,58955.3,2.09617,0.63816,0.85598,1.49419,0.147325,0.147325,0.147325
71,59891.6,2.09316,0.63868,0.857,1.49086,0.145945,0.145945,0.145945
72,60832.2,2.0873,0.63972,0.8569,1.48781,0.144554,0.144554,0.144554
73,61769.2,2.08266,0.64026,0.85686,1.48407,0.143152,0.143152,0.143152
74,62714.2,2.07841,0.64166,0.85792,1.47844,0.14174,0.14174,0.14174
75,63654.3,2.07317,0.64254,0.85824,1.47516,0.140318,0.140318,0.140318
76,64600.3,2.06762,0.64248,0.85866,1.47339,0.138886,0.138886,0.138886
77,65546.1,2.06217,0.64334,0.8591,1.47176,0.137444,0.137444,0.137444
78,66481.5,2.0583,0.64352,0.85948,1.46903,0.135994,0.135994,0.135994
