epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1243.6,4.59845,0.31192,0.57168,3.23667,0.2,0.2,0.2
2,2476.7,3.22168,0.47354,0.72568,2.33917,0.199988,0.199988,0.199988
3,3708.41,2.76112,0.5365,0.77894,2.00444,0.199951,0.199951,0.199951
4,4938.65,2.54545,0.55404,0.7925,1.91173,0.19989,0.19989,0.19989
5,6170.73,2.42044,0.56014,0.79754,1.89136,0.199805,0.199805,0.199805
6,7404.5,2.33802,0.5593,0.79606,1.89942,0.199695,0.199695,0.199695
7,8636.01,2.27558,0.5625,0.79822,1.88637,0.199561,0.199561,0.199561
8,9860.02,2.23365,0.56888,0.80472,1.84984,0.199402,0.199402,0.199402
9,11088.3,2.19841,0.58088,0.8135,1.79032,0.199219,0.199219,0.199219
10,12315,2.17041,0.59362,0.8233,1.72558,0.199012,0.199012,0.199012
11,13544.7,2.14918,0.60456,0.83166,1.66482,0.198781,0.198781,0.198781
12,14788.7,2.13106,0.61494,0.83866,1.61256,0.198526,0.198526,0.198526
13,16031.9,2.11234,0.62214,0.84442,1.57192,0.198246,0.198246,0.198246
14,17277.2,2.0986,0.62832,0.84894,1.53904,0.197943,0.197943,0.197943
15,18522.1,2.085,0.63262,0.85238,1.51548,0.197616,0.197616,0.197616
16,19762,2.07442,0.63694,0.8562,1.49359,0.197265,0.197265,0.197265
17,21002.6,2.06513,0.64116,0.85806,1.4769,0.19689,0.19689,0.19689
18,22248.3,2.05475,0.64472,0.86034,1.46235,0.196491,0.196491,0.196491
19,23490.2,2.04686,0.64606,0.86176,1.45112,0.196069,0.196069,0.196069
20,24729.8,2.03824,0.648,0.86422,1.44056,0.195624,0.195624,0.195624
21,25973.2,2.03137,0.6498,0.86482,1.4326,0.195155,0.195155,0.195155
22,27219.9,2.02549,0.65246,0.86662,1.42407,0.194662,0.194662,0.194662
23,28466.7,2.01586,0.65374,0.86738,1.41714,0.194147,0.194147,0.194147
24,29706.8,2.01005,0.65566,0.86818,1.40925,0.193609,0.193609,0.193609
25,30952,2.00578,0.6567,0.86838,1.40262,0.193048,0.193048,0.193048
26,32196.4,1.99896,0.6577,0.86982,1.39599,0.192464,0.192464,0.192464
27,33436.3,1.99309,0.65956,0.8707,1.39111,0.191858,0.191858,0.191858
28,34678.2,1.98821,0.66008,0.87174,1.38643,0.191229,0.191229,0.191229
29,35925.9,1.98164,0.66032,0.87266,1.38118,0.190578,0.190578,0.190578
30,37167.8,1.97681,0.66204,0.87308,1.37572,0.189905,0.189905,0.189905
31,38413.1,1.97114,0.6641,0.87394,1.36952,0.18921,0.18921,0.18921
32,39658.5,1.96575,0.66526,0.8747,1.36436,0.188493,0.188493,0.188493
33,40967.2,1.96255,0.66634,0.87576,1.35925,0.187754,0.187754,0.187754
34,42276.9,1.95396,0.66748,0.87614,1.35647,0.186995,0.186995,0.186995
35,43602.6,1.95238,0.66702,0.87602,1.35211,0.186213,0.186213,0.186213
36,44938.5,1.94782,0.66854,0.87688,1.34835,0.185411,0.185411,0.185411
37,46259,1.94262,0.66832,0.87794,1.34387,0.184588,0.184588,0.184588
38,47500.8,1.9394,0.66952,0.87762,1.34131,0.183745,0.183745,0.183745
39,48737.7,1.93501,0.67086,0.87782,1.33737,0.182881,0.182881,0.182881
40,49974.6,1.93244,0.6719,0.87818,1.33376,0.181997,0.181997,0.181997
41,51211.3,1.92635,0.6722,0.87966,1.33263,0.181093,0.181093,0.181093
42,52448.5,1.92154,0.67232,0.87986,1.32843,0.180169,0.180169,0.180169
43,53690.6,1.91874,0.67262,0.88014,1.32652,0.179225,0.179225,0.179225
44,54933.2,1.91258,0.67404,0.88078,1.32215,0.178263,0.178263,0.178263
45,56172.1,1.90933,0.67422,0.88046,1.31959,0.177281,0.177281,0.177281
46,57413.8,1.90475,0.67646,0.88102,1.3159,0.17628,0.17628,0.17628
47,58654.7,1.90206,0.6766,0.88204,1.31192,0.175261,0.175261,0.175261
48,59900.6,1.89832,0.67758,0.88232,1.30922,0.174223,0.174223,0.174223
49,61141.2,1.89266,0.67752,0.88224,1.30779,0.173168,0.173168,0.173168
50,62389.8,1.88851,0.67856,0.8829,1.30428,0.172095,0.172095,0.172095
51,63629.5,1.88487,0.67948,0.88308,1.30069,0.171004,0.171004,0.171004
52,64869.9,1.87928,0.6802,0.88338,1.29795,0.169895,0.169895,0.169895
53,66110.3,1.87745,0.68058,0.88426,1.29505,0.16877,0.16877,0.16877
54,67355.4,1.87247,0.68064,0.88442,1.29085,0.167628,0.167628,0.167628
55,68595.2,1.86748,0.68184,0.88476,1.28731,0.16647,0.16647,0.16647
56,69838.9,1.86191,0.68272,0.88518,1.28497,0.165295,0.165295,0.165295
57,71078.7,1.85833,0.68326,0.88544,1.28219,0.164105,0.164105,0.164105
58,72320.8,1.85411,0.68376,0.88546,1.27997,0.162899,0.162899,0.162899
59,73569,1.84938,0.68452,0.88578,1.27803,0.161678,0.161678,0.161678
60,74810.1,1.84562,0.68516,0.88642,1.27465,0.160442,0.160442,0.160442
61,76053.6,1.83951,0.68608,0.88592,1.27253,0.159191,0.159191,0.159191
62,77293.7,1.83777,0.68736,0.88648,1.26863,0.157926,0.157926,0.157926
63,78531.4,1.83201,0.6883,0.88678,1.26556,0.156646,0.156646,0.156646
64,79775.5,1.82817,0.68806,0.88698,1.26342,0.155353,0.155353,0.155353
65,81016.6,1.82429,0.68798,0.88788,1.26049,0.154047,0.154047,0.154047
66,82254.6,1.81683,0.6888,0.88758,1.25861,0.152727,0.152727,0.152727
67,83495.9,1.81284,0.68884,0.888,1.25774,0.151395,0.151395,0.151395
68,84736.1,1.80738,0.68898,0.8883,1.25409,0.15005,0.15005,0.15005
69,85979.6,1.8046,0.69014,0.88948,1.25081,0.148694,0.148694,0.148694
70,87216.8,1.79783,0.69114,0.88944,1.24831,0.147325,0.147325,0.147325
71,88453.7,1.7931,0.69306,0.89008,1.2435,0.145945,0.145945,0.145945
72,89696.7,1.78733,0.6932,0.89066,1.24123,0.144554,0.144554,0.144554
73,90937.7,1.78412,0.69454,0.89124,1.23826,0.143152,0.143152,0.143152
74,92181.5,1.7784,0.69454,0.89178,1.23531,0.14174,0.14174,0.14174
75,93421.4,1.77075,0.69418,0.89248,1.23186,0.140318,0.140318,0.140318
76,94659.8,1.7673,0.69494,0.89276,1.23064,0.138886,0.138886,0.138886
77,95905,1.76136,0.69592,0.89232,1.22778,0.137444,0.137444,0.137444
78,97148.6,1.75514,0.69588,0.89234,1.22368,0.135994,0.135994,0.135994
79,98385.3,1.74987,0.69702,0.89304,1.22024,0.134535,0.134535,0.134535
80,99623.7,1.74411,0.69778,0.89444,1.21913,0.133068,0.133068,0.133068
81,100862,1.74045,0.69752,0.8942,1.21509,0.131593,0.131593,0.131593
82,102102,1.73172,0.69892,0.89386,1.2113,0.13011,0.13011,0.13011
83,103345,1.72646,0.7004,0.8941,1.20871,0.12862,0.12862,0.12862
84,104586,1.71956,0.70138,0.89508,1.20526,0.127123,0.127123,0.127123
85,105823,1.71545,0.70254,0.89552,1.20297,0.12562,0.12562,0.12562
86,107064,1.71038,0.7029,0.89572,1.20067,0.124111,0.124111,0.124111
