epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1836.1,5.25916,0.27726,0.52992,3.43046,0.2,0.2,0.2
2,3665.33,3.22132,0.50162,0.74944,2.19353,0.199988,0.199988,0.199988
3,5496.79,2.56831,0.57804,0.81132,1.79229,0.199951,0.199951,0.199951
4,7327.95,2.2958,0.59762,0.82808,1.68969,0.19989,0.19989,0.19989
5,9158.68,2.15192,0.60114,0.83012,1.67863,0.199805,0.199805,0.199805
6,10988.5,2.06221,0.5958,0.82644,1.70029,0.199695,0.199695,0.199695
7,12819.3,2.00231,0.59568,0.8265,1.70206,0.199561,0.199561,0.199561
8,14649.3,1.95591,0.6034,0.83316,1.6622,0.199402,0.199402,0.199402
9,16479.2,1.9221,0.61622,0.84214,1.6007,0.199219,0.199219,0.199219
10,18308.7,1.89252,0.63032,0.85244,1.52977,0.199012,0.199012,0.199012
11,20140.4,1.87137,0.6435,0.86158,1.46481,0.198781,0.198781,0.198781
12,21971.6,1.8514,0.65436,0.86858,1.41231,0.198526,0.198526,0.198526
13,23801.7,1.83348,0.6613,0.87384,1.37461,0.198246,0.198246,0.198246
14,25631.5,1.82116,0.66886,0.87728,1.34186,0.197943,0.197943,0.197943
15,27461.2,1.80794,0.67532,0.88094,1.31523,0.197616,0.197616,0.197616
16,29291.3,1.79517,0.68006,0.88476,1.2928,0.197265,0.197265,0.197265
17,31120.9,1.7884,0.68396,0.88628,1.27516,0.19689,0.19689,0.19689
18,32951.8,1.77916,0.68854,0.88832,1.25775,0.196491,0.196491,0.196491
19,34781.3,1.77077,0.69198,0.89156,1.24173,0.196069,0.196069,0.196069
20,36611.7,1.76499,0.69418,0.893,1.23016,0.195624,0.195624,0.195624
21,38441.6,1.759,0.69558,0.89524,1.21842,0.195155,0.195155,0.195155
22,40272.9,1.7513,0.6979,0.89668,1.20957,0.194662,0.194662,0.194662
23,42120.4,1.74538,0.69934,0.89732,1.20118,0.194147,0.194147,0.194147
24,43971.8,1.74177,0.70124,0.89838,1.19489,0.193609,0.193609,0.193609
25,45822.9,1.73429,0.70408,0.89936,1.18898,0.193048,0.193048,0.193048
26,47655.4,1.72841,0.70514,0.89962,1.18264,0.192464,0.192464,0.192464
27,49484.8,1.72398,0.70534,0.89982,1.1784,0.191858,0.191858,0.191858
28,51314.4,1.71935,0.70668,0.90072,1.17538,0.191229,0.191229,0.191229
29,53142.4,1.71385,0.70812,0.9016,1.1712,0.190578,0.190578,0.190578
30,54972.3,1.71128,0.70782,0.90228,1.16636,0.189905,0.189905,0.189905
31,56801.9,1.70465,0.70854,0.9028,1.16016,0.18921,0.18921,0.18921
32,58630.1,1.7022,0.70898,0.90344,1.15789,0.188493,0.188493,0.188493
33,60458.7,1.69847,0.70888,0.9033,1.15603,0.187754,0.187754,0.187754
34,62287.4,1.69173,0.7099,0.90396,1.15156,0.186995,0.186995,0.186995
35,64117.3,1.68834,0.70982,0.90432,1.14874,0.186213,0.186213,0.186213
36,65946.4,1.68464,0.71028,0.9053,1.1461,0.185411,0.185411,0.185411
37,67775,1.68196,0.71246,0.9057,1.14217,0.184588,0.184588,0.184588
38,69603.8,1.67591,0.71288,0.90624,1.13891,0.183745,0.183745,0.183745
39,71432.6,1.67204,0.7135,0.90642,1.13513,0.182881,0.182881,0.182881
40,73261.7,1.66789,0.7137,0.90676,1.13201,0.181997,0.181997,0.181997
41,75090.4,1.66317,0.7145,0.90718,1.13029,0.181093,0.181093,0.181093
42,76919,1.65982,0.71546,0.90764,1.12706,0.180169,0.180169,0.180169
43,78748.3,1.65764,0.71572,0.90844,1.12583,0.179225,0.179225,0.179225
44,80577.2,1.65015,0.71604,0.90886,1.122,0.178263,0.178263,0.178263
45,82406,1.64834,0.71654,0.90944,1.11837,0.177281,0.177281,0.177281
46,84235.5,1.64382,0.71766,0.90982,1.11502,0.17628,0.17628,0.17628
