epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,866.848,3.31918,5.75004,5.16112,3.68435,0.10418,0.05073,0.00501,0.00204,0.00285,0.05953,0.00374,0.00142,2.3708,4.47591,3.81648,2.76258,0.00332973,0.00332973,0.00332973
2,1771.83,2.06079,4.0862,3.59634,2.16179,0.22197,0.08707,0.04531,0.02536,0.2206,0.07952,0.03908,0.01879,1.7703,3.8066,2.96238,2.02838,0.00665207,0.00665207,0.00665207
3,2690.34,1.71387,3.62789,2.97981,1.77585,0.19324,0.14443,0.09376,0.05718,0.18269,0.1319,0.08277,0.04323,1.58539,3.54263,2.61534,1.79033,0.00996341,0.00996341,0.00996341
4,3578.77,1.5231,3.31695,2.53568,1.58861,0.32229,0.23663,0.19749,0.12696,0.31795,0.2172,0.18222,0.10032,1.37535,3.09638,2.07395,1.5773,0.0099505,0.0099505,0.0099505
5,4451.91,1.40411,3.10714,2.21402,1.48121,0.39046,0.27086,0.25269,0.16744,0.37685,0.25928,0.23439,0.13462,1.28934,2.93256,1.86127,1.4911,0.009934,0.009934,0.009934
6,5325.89,1.34193,2.99872,2.05166,1.42451,0.42717,0.31454,0.29937,0.20267,0.42453,0.29531,0.27912,0.16371,1.24106,2.81667,1.71803,1.44098,0.0099175,0.0099175,0.0099175
7,6208,1.30584,2.91587,1.93315,1.38795,0.48399,0.33802,0.34107,0.23418,0.47702,0.32423,0.32171,0.19119,1.19369,2.71784,1.59528,1.39472,0.009901,0.009901,0.009901
8,7104.74,1.27097,2.84823,1.83915,1.35252,0.49789,0.3608,0.36895,0.25648,0.49663,0.34196,0.34715,0.20998,1.16014,2.64914,1.51846,1.36493,0.0098845,0.0098845,0.0098845
9,7989.74,1.24001,2.78735,1.76794,1.33043,0.53188,0.37721,0.40035,0.28019,0.53071,0.35893,0.37715,0.23085,1.1312,2.58466,1.45063,1.33467,0.009868,0.009868,0.009868
10,8895.62,1.22488,2.74857,1.71086,1.311,0.52776,0.40492,0.41896,0.29529,0.51647,0.38983,0.39691,0.24393,1.11329,2.5381,1.39315,1.31448,0.0098515,0.0098515,0.0098515
11,9820.49,1.2079,2.70552,1.67172,1.29754,0.54544,0.41436,0.43702,0.30841,0.53902,0.39472,0.41272,0.25516,1.09498,2.49646,1.34656,1.29596,0.009835,0.009835,0.009835
12,10700.2,1.19081,2.69133,1.63845,1.28206,0.53231,0.43182,0.4502,0.31957,0.52654,0.41304,0.42663,0.2646,1.08373,2.46647,1.31373,1.28291,0.0098185,0.0098185,0.0098185
13,11583.9,1.18043,2.66693,1.6088,1.27324,0.55842,0.43408,0.46262,0.33013,0.56446,0.41015,0.43826,0.27343,1.07077,2.43908,1.2838,1.27138,0.009802,0.009802,0.009802
14,12476.8,1.16868,2.6386,1.57975,1.26138,0.56784,0.4391,0.47128,0.33689,0.56124,0.42078,0.4469,0.27883,1.05982,2.41671,1.26448,1.26115,0.0097855,0.0097855,0.0097855
15,13349.3,1.15657,2.61214,1.54752,1.25149,0.55929,0.4523,0.4787,0.34303,0.55018,0.43567,0.45393,0.28501,1.05383,2.39871,1.24492,1.25373,0.009769,0.009769,0.009769
16,14227.4,1.15199,2.61366,1.53477,1.24753,0.55863,0.46335,0.48763,0.35016,0.54966,0.44463,0.46253,0.29027,1.04722,2.38292,1.2278,1.24784,0.0097525,0.0097525,0.0097525
17,15109.5,1.14618,2.59737,1.51433,1.24054,0.56381,0.46999,0.49318,0.35477,0.55336,0.45173,0.46917,0.29426,1.04012,2.37048,1.21533,1.24155,0.009736,0.009736,0.009736
18,16018.4,1.13981,2.58489,1.49604,1.23474,0.57101,0.47194,0.49704,0.35827,0.57253,0.44957,0.47359,0.2971,1.03585,2.36164,1.2055,1.2378,0.0097195,0.0097195,0.0097195
19,16929.8,1.13045,2.55959,1.47445,1.22908,0.57702,0.47269,0.50114,0.36168,0.56804,0.45469,0.47723,0.29984,1.03355,2.35513,1.19753,1.23472,0.009703,0.009703,0.009703
20,17840.9,1.12212,2.54989,1.46405,1.22085,0.58355,0.47131,0.50477,0.36438,0.57029,0.45641,0.48012,0.30193,1.03102,2.34971,1.19158,1.23156,0.0096865,0.0096865,0.0096865
21,18769.7,1.11898,2.54511,1.45899,1.21876,0.58789,0.47068,0.50665,0.36628,0.597,0.44617,0.48281,0.30405,1.02885,2.34357,1.18633,1.22907,0.00967,0.00967,0.00967
22,19688.1,1.11168,2.52217,1.44312,1.21288,0.57378,0.48137,0.50953,0.36905,0.56729,0.46208,0.48529,0.30594,1.02709,2.33787,1.18225,1.22678,0.0096535,0.0096535,0.0096535
23,20611.7,1.11243,2.52754,1.44094,1.2123,0.56577,0.48839,0.5111,0.37053,0.56378,0.46739,0.48662,0.30737,1.02563,2.33361,1.1784,1.22509,0.009637,0.009637,0.009637
24,21545.6,1.10432,2.50084,1.42101,1.20515,0.57724,0.48427,0.51271,0.37196,0.56844,0.46573,0.48791,0.30891,1.02408,2.33022,1.17524,1.22326,0.0096205,0.0096205,0.0096205
25,22471.4,1.09996,2.49741,1.41146,1.20124,0.58262,0.48372,0.51414,0.37334,0.58168,0.46017,0.48949,0.30997,1.02319,2.32755,1.17299,1.22215,0.009604,0.009604,0.009604
26,23394.7,1.09887,2.48946,1.40336,1.19948,0.59201,0.48097,0.5157,0.37446,0.58081,0.46494,0.49123,0.31136,1.02222,2.32521,1.17112,1.22079,0.0095875,0.0095875,0.0095875
27,24331,1.10268,2.50042,1.40371,1.19819,0.59933,0.47785,0.5169,0.37576,0.59374,0.4595,0.49226,0.31215,1.02156,2.3238,1.17057,1.21984,0.009571,0.009571,0.009571
28,25267.3,1.09268,2.48237,1.39207,1.19501,0.59905,0.47898,0.51822,0.37656,0.59063,0.4623,0.49326,0.31318,1.02076,2.32249,1.17009,1.21881,0.0095545,0.0095545,0.0095545
29,26194,1.0883,2.47355,1.38283,1.19224,0.59785,0.48327,0.5191,0.37752,0.59415,0.46183,0.49416,0.314,1.02002,2.32196,1.17078,1.21785,0.009538,0.009538,0.009538
30,27117.2,1.08874,2.46973,1.37826,1.19079,0.60023,0.48307,0.52003,0.37856,0.58993,0.46639,0.49548,0.31468,1.01949,2.3219,1.17131,1.21734,0.0095215,0.0095215,0.0095215
31,28066.4,1.08487,2.46304,1.36718,1.18855,0.60488,0.48354,0.52065,0.37918,0.59232,0.46668,0.49601,0.31503,1.01951,2.32275,1.17306,1.21711,0.009505,0.009505,0.009505
32,29011.4,1.08204,2.46819,1.36703,1.18644,0.60417,0.48629,0.52186,0.37994,0.59395,0.46801,0.49716,0.31577,1.01905,2.3224,1.17473,1.21662,0.0094885,0.0094885,0.0094885
33,29947.7,1.07924,2.45356,1.35314,1.18393,0.60986,0.48505,0.52264,0.38096,0.59969,0.46806,0.49826,0.31666,1.01831,2.32284,1.17587,1.21589,0.009472,0.009472,0.009472
34,30872,1.07469,2.43845,1.34861,1.17863,0.61645,0.48417,0.52355,0.38157,0.60521,0.4664,0.49876,0.31756,1.01803,2.32172,1.17678,1.2154,0.0094555,0.0094555,0.0094555
