epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
353,607.451,0.96955,2.19341,1.04813,1.07511,0.70374,0.59467,0.65024,0.48782,0.69818,0.5728,0.62242,0.4073,0.9349,2.04876,0.90071,1.07381,0.004192,0.004192,0.004192
354,1213.08,0.98241,2.22046,1.07156,1.08284,0.69814,0.59782,0.65069,0.48809,0.6982,0.57509,0.62276,0.40742,0.93455,2.04775,0.89982,1.07347,0.0041755,0.0041755,0.0041755
355,1819.68,0.9875,2.22593,1.077,1.08489,0.70559,0.59373,0.65116,0.48842,0.70397,0.57342,0.6232,0.40771,0.93435,2.04724,0.8995,1.07331,0.004159,0.004159,0.004159
356,2423.54,0.9892,2.24252,1.0916,1.08871,0.70724,0.59369,0.65149,0.48866,0.70055,0.57408,0.62321,0.40766,0.93424,2.04658,0.89925,1.07304,0.0041425,0.0041425,0.0041425
357,3026.82,0.98401,2.22329,1.075,1.08469,0.70442,0.59453,0.65178,0.48898,0.70405,0.57287,0.62354,0.408,0.93409,2.0457,0.89868,1.07279,0.004126,0.004126,0.004126
358,3631.53,0.98741,2.23663,1.08187,1.08471,0.7178,0.58917,0.65228,0.48917,0.70539,0.57155,0.62382,0.40804,0.93394,2.04523,0.89838,1.07261,0.0041095,0.0041095,0.0041095
359,4234.25,0.99149,2.24434,1.08342,1.08849,0.71757,0.58937,0.65247,0.48951,0.71346,0.56877,0.62439,0.4082,0.93361,2.04492,0.89786,1.07245,0.004093,0.004093,0.004093
360,4836.72,0.98923,2.24157,1.07878,1.08622,0.71193,0.59075,0.65248,0.48962,0.71355,0.56876,0.62473,0.4081,0.93366,2.04509,0.89756,1.07262,0.0040765,0.0040765,0.0040765
361,5441.08,0.98862,2.2364,1.08362,1.08677,0.71176,0.59055,0.65245,0.48974,0.71001,0.57108,0.62509,0.40807,0.93355,2.04435,0.89742,1.07251,0.00406,0.00406,0.00406
362,6046.19,0.98873,2.23351,1.08627,1.08613,0.71134,0.59069,0.65282,0.48969,0.71223,0.57009,0.62514,0.40829,0.93337,2.04413,0.897,1.07227,0.0040435,0.0040435,0.0040435
363,6651.23,0.98374,2.22449,1.07439,1.08327,0.712,0.592,0.65291,0.48976,0.70988,0.57197,0.62515,0.40815,0.93352,2.04337,0.89685,1.07232,0.004027,0.004027,0.004027
364,7255.77,0.98622,2.22364,1.07612,1.0848,0.71265,0.59092,0.65291,0.48987,0.70764,0.57242,0.62496,0.4082,0.93341,2.04294,0.89671,1.07218,0.0040105,0.0040105,0.0040105
365,7860.39,0.99147,2.24534,1.08291,1.08791,0.71022,0.59355,0.65312,0.48998,0.70477,0.57472,0.62565,0.40832,0.93337,2.04266,0.89659,1.07203,0.003994,0.003994,0.003994
366,8463.88,0.98612,2.23037,1.07978,1.08654,0.7096,0.59422,0.65319,0.49004,0.70635,0.57424,0.62557,0.40855,0.93338,2.04186,0.89629,1.07197,0.0039775,0.0039775,0.0039775
367,9067.8,0.98599,2.22564,1.0751,1.08337,0.70946,0.59452,0.6531,0.48987,0.70698,0.57347,0.62539,0.40855,0.93315,2.04175,0.89577,1.07186,0.003961,0.003961,0.003961
