epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
295,432.761,1.1419,2.57173,1.4462,1.18701,0.60496,0.48148,0.51193,0.36424,0.60507,0.46004,0.48561,0.30621,1.11967,2.49446,1.20704,1.15974,0.005149,0.005149,0.005149
296,850.086,1.15369,2.6075,1.47303,1.19613,0.60654,0.47673,0.51146,0.36401,0.59911,0.46014,0.4858,0.30664,1.11867,2.49457,1.20666,1.15916,0.0051325,0.0051325,0.0051325
297,1268.29,1.15115,2.58955,1.46881,1.19493,0.59969,0.48098,0.51167,0.36417,0.59324,0.46271,0.48622,0.3069,1.11814,2.49409,1.20649,1.15864,0.005116,0.005116,0.005116
298,1687.25,1.1476,2.58445,1.47231,1.19203,0.59648,0.47882,0.51175,0.36388,0.59289,0.46175,0.48585,0.30723,1.11785,2.49426,1.20644,1.15864,0.0050995,0.0050995,0.0050995
299,2105.46,1.15101,2.59179,1.46281,1.19297,0.59589,0.4823,0.51171,0.36425,0.59575,0.46201,0.48619,0.30752,1.1175,2.49479,1.20639,1.15872,0.005083,0.005083,0.005083
300,2525.51,1.14965,2.59696,1.47539,1.19448,0.60105,0.48058,0.51122,0.36421,0.59898,0.46057,0.48609,0.30728,1.11811,2.49423,1.2063,1.15908,0.0050665,0.0050665,0.0050665
301,2946.48,1.15253,2.58375,1.45865,1.19227,0.60122,0.48321,0.5112,0.36418,0.60057,0.45997,0.48595,0.30727,1.11786,2.49335,1.20586,1.15912,0.00505,0.00505,0.00505
302,3367.45,1.14962,2.59179,1.46735,1.19288,0.6028,0.48267,0.5117,0.3641,0.60205,0.46304,0.48623,0.30698,1.11794,2.49328,1.20567,1.15913,0.0050335,0.0050335,0.0050335
303,3791.21,1.15872,2.60036,1.46731,1.19722,0.60612,0.4809,0.51191,0.36393,0.60717,0.45986,0.48617,0.3068,1.11803,2.49256,1.20533,1.15929,0.005017,0.005017,0.005017
304,4207.2,1.14976,2.59135,1.46439,1.19255,0.60937,0.48165,0.51224,0.36427,0.60847,0.45956,0.48653,0.30688,1.11805,2.49237,1.20606,1.15912,0.0050005,0.0050005,0.0050005
305,4623.83,1.14944,2.58668,1.46773,1.19308,0.60394,0.48267,0.51219,0.36437,0.59977,0.46424,0.48636,0.30712,1.11788,2.4922,1.20533,1.15902,0.004984,0.004984,0.004984
306,5042.99,1.14645,2.58498,1.46557,1.19222,0.60234,0.48518,0.51222,0.36438,0.59788,0.46699,0.48668,0.30711,1.11722,2.49131,1.20471,1.15829,0.0049675,0.0049675,0.0049675
307,5470.01,1.14547,2.58168,1.46502,1.19253,0.6034,0.48516,0.51226,0.36458,0.59926,0.46535,0.48672,0.3069,1.1173,2.49007,1.20434,1.15858,0.004951,0.004951,0.004951
308,5890.03,1.14257,2.57911,1.4575,1.19,0.60612,0.48159,0.51269,0.3649,0.60113,0.46307,0.48619,0.30682,1.11694,2.49028,1.20402,1.15856,0.0049345,0.0049345,0.0049345
309,6310.05,1.1461,2.58002,1.46584,1.19217,0.60873,0.48113,0.51304,0.36499,0.60705,0.46127,0.48687,0.30714,1.11731,2.49058,1.20406,1.15854,0.004918,0.004918,0.004918
310,6728.59,1.14468,2.58129,1.46123,1.1917,0.61915,0.4756,0.51264,0.36484,0.6132,0.45882,0.48636,0.30657,1.11764,2.48944,1.20381,1.15884,0.0049015,0.0049015,0.0049015
311,7150.8,1.15083,2.58249,1.46933,1.19305,0.61404,0.47642,0.51212,0.36456,0.60765,0.45996,0.48568,0.30661,1.11787,2.48924,1.20421,1.15912,0.004885,0.004885,0.004885
312,7570.84,1.14238,2.57356,1.4459,1.18968,0.61679,0.47255,0.51171,0.36412,0.61625,0.45339,0.48566,0.30615,1.11755,2.48962,1.20404,1.15832,0.0048685,0.0048685,0.0048685
313,7992.25,1.14779,2.58439,1.45805,1.19112,0.61025,0.47699,0.51208,0.36436,0.60779,0.45827,0.48606,0.30649,1.11792,2.49096,1.20327,1.15883,0.004852,0.004852,0.004852
314,8415.18,1.14559,2.58323,1.45897,1.19156,0.61497,0.47629,0.51219,0.36448,0.6158,0.45507,0.48581,0.30652,1.11767,2.49064,1.20325,1.15857,0.0048355,0.0048355,0.0048355
315,8834.98,1.14474,2.58283,1.45817,1.18905,0.61931,0.47433,0.51223,0.36452,0.61863,0.45562,0.48611,0.30644,1.11735,2.48981,1.20303,1.15837,0.004819,0.004819,0.004819
316,9259.29,1.14706,2.5802,1.45907,1.19068,0.61395,0.47576,0.51255,0.36456,0.60791,0.45862,0.48675,0.30643,1.11691,2.48939,1.2024,1.158,0.0048025,0.0048025,0.0048025
317,9681.94,1.14697,2.58681,1.45364,1.18926,0.61474,0.47586,0.51189,0.36424,0.61644,0.45611,0.48632,0.30666,1.11702,2.49011,1.2019,1.15783,0.004786,0.004786,0.004786
318,10101.5,1.1397,2.58348,1.45161,1.1892,0.6161,0.47539,0.51188,0.36433,0.61617,0.45701,0.48651,0.30643,1.11744,2.48999,1.2019,1.15802,0.0047695,0.0047695,0.0047695
319,10523.5,1.14233,2.57485,1.44604,1.1883,0.61154,0.47937,0.51228,0.36462,0.6095,0.45842,0.48684,0.30713,1.11742,2.48905,1.20258,1.15786,0.004753,0.004753,0.004753
320,10947.2,1.14261,2.57982,1.45207,1.18647,0.61378,0.47985,0.51182,0.36445,0.61207,0.46032,0.48607,0.30716,1.1175,2.48859,1.20323,1.1577,0.0047365,0.0047365,0.0047365
321,11370.4,1.14817,2.57899,1.45677,1.19215,0.61097,0.47803,0.51212,0.36481,0.60473,0.4627,0.48657,0.30742,1.11733,2.48839,1.20284,1.15719,0.00472,0.00472,0.00472
322,11794.1,1.14448,2.57975,1.45031,1.18919,0.6111,0.47947,0.51279,0.36524,0.6068,0.46422,0.48739,0.30768,1.11815,2.48785,1.20267,1.15743,0.0047035,0.0047035,0.0047035
