epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
286,434.914,1.11929,2.53637,1.29391,1.14669,0.65814,0.54544,0.59302,0.43546,0.65975,0.5231,0.56798,0.36559,1.01298,2.24339,1.02386,1.10188,0.0052975,0.0052975,0.0052975
287,865.052,1.12899,2.55996,1.32181,1.15438,0.66075,0.54519,0.59253,0.43527,0.65906,0.52347,0.56716,0.36498,1.01266,2.2422,1.02314,1.10161,0.005281,0.005281,0.005281
288,1297.6,1.12886,2.56127,1.32757,1.15592,0.66085,0.5453,0.59275,0.43533,0.6546,0.52643,0.56732,0.36511,1.01239,2.24186,1.02255,1.1013,0.0052645,0.0052645,0.0052645
289,1729.82,1.13479,2.57056,1.33227,1.15801,0.66124,0.5464,0.5931,0.43522,0.65778,0.52468,0.56745,0.36513,1.01249,2.24151,1.02228,1.10137,0.005248,0.005248,0.005248
290,2160.31,1.13392,2.56432,1.32691,1.15709,0.66338,0.54501,0.59398,0.43553,0.66278,0.52321,0.56775,0.36513,1.0126,2.24147,1.02229,1.10119,0.0052315,0.0052315,0.0052315
291,2591.18,1.13324,2.56451,1.32886,1.15892,0.66362,0.5439,0.59395,0.43551,0.66785,0.52088,0.56814,0.36532,1.01266,2.24099,1.02206,1.10127,0.005215,0.005215,0.005215
292,3022.29,1.13712,2.5799,1.33147,1.15721,0.66122,0.54561,0.59411,0.43573,0.66188,0.52361,0.56808,0.36539,1.01246,2.241,1.0223,1.10108,0.0051985,0.0051985,0.0051985
293,3453.27,1.13251,2.57556,1.3384,1.15571,0.66213,0.54411,0.59371,0.43546,0.65737,0.52549,0.56816,0.36547,1.01272,2.24147,1.02214,1.10126,0.005182,0.005182,0.005182
294,3884.01,1.13138,2.56737,1.32781,1.15572,0.65915,0.54705,0.59396,0.43524,0.65848,0.52421,0.56776,0.36529,1.01291,2.2407,1.02229,1.10137,0.0051655,0.0051655,0.0051655
295,4314.6,1.13528,2.57547,1.33399,1.15745,0.66019,0.54707,0.59424,0.43517,0.66053,0.524,0.56793,0.36518,1.01282,2.2406,1.02251,1.10128,0.005149,0.005149,0.005149
296,4745.11,1.13807,2.58425,1.33115,1.15765,0.65757,0.54802,0.59416,0.43523,0.66312,0.52395,0.56808,0.36481,1.01287,2.24119,1.02236,1.10116,0.0051325,0.0051325,0.0051325
297,5174.73,1.12806,2.55871,1.32261,1.15322,0.66303,0.54254,0.59373,0.43512,0.66328,0.52318,0.56745,0.36468,1.0129,2.24041,1.02293,1.10101,0.005116,0.005116,0.005116
298,5604.47,1.13318,2.56142,1.33073,1.15746,0.65876,0.54639,0.5938,0.43534,0.66269,0.5241,0.56798,0.36503,1.01297,2.2403,1.02307,1.10109,0.0050995,0.0050995,0.0050995
299,6036.17,1.13789,2.56935,1.32597,1.15666,0.65888,0.54722,0.59409,0.43578,0.6666,0.52283,0.56834,0.36547,1.01303,2.2404,1.02273,1.10099,0.005083,0.005083,0.005083
300,6467.16,1.12969,2.56216,1.32219,1.15461,0.6577,0.54738,0.59409,0.436,0.6638,0.52412,0.569,0.36545,1.01267,2.23964,1.02237,1.10067,0.0050665,0.0050665,0.0050665
301,6898.09,1.1327,2.55903,1.3214,1.15556,0.65699,0.54875,0.59478,0.43659,0.66045,0.52513,0.56935,0.36604,1.01252,2.23938,1.02178,1.10031,0.00505,0.00505,0.00505
302,7328.82,1.12993,2.56028,1.3218,1.15524,0.65525,0.54954,0.59465,0.43654,0.66132,0.52357,0.56888,0.36607,1.01226,2.23914,1.02185,1.09993,0.0050335,0.0050335,0.0050335
303,7759,1.1365,2.56926,1.32071,1.15765,0.65935,0.54766,0.59467,0.43646,0.66323,0.52279,0.56897,0.3658,1.01223,2.23897,1.02124,1.0999,0.005017,0.005017,0.005017
304,8189.94,1.13177,2.56345,1.31931,1.15429,0.66165,0.54535,0.59494,0.43652,0.6652,0.52271,0.56928,0.36572,1.01177,2.23898,1.02103,1.09942,0.0050005,0.0050005,0.0050005
305,8619.38,1.128,2.556,1.31986,1.15582,0.66279,0.54492,0.59478,0.43616,0.66556,0.52192,0.56907,0.36547,1.01157,2.2392,1.02108,1.09926,0.004984,0.004984,0.004984
306,9049.19,1.13211,2.56251,1.3228,1.15641,0.66719,0.5423,0.595,0.43647,0.66538,0.52294,0.56924,0.36569,1.01147,2.23868,1.02049,1.09936,0.0049675,0.0049675,0.0049675
307,9479.47,1.12717,2.54961,1.31535,1.15307,0.66985,0.54122,0.59611,0.43722,0.66485,0.52285,0.57066,0.36646,1.01125,2.23779,1.01988,1.09929,0.004951,0.004951,0.004951
308,9908.79,1.13054,2.56171,1.31756,1.15497,0.66927,0.54152,0.59641,0.4373,0.66538,0.52255,0.5704,0.36683,1.01119,2.23775,1.01976,1.09935,0.0049345,0.0049345,0.0049345
309,10338.9,1.13657,2.56682,1.32757,1.15671,0.66468,0.54636,0.59631,0.43702,0.66166,0.52576,0.56992,0.36655,1.01087,2.2371,1.01867,1.09914,0.004918,0.004918,0.004918
310,10768,1.12623,2.55431,1.31316,1.15175,0.66167,0.54854,0.5967,0.43738,0.6612,0.5257,0.57069,0.367,1.01051,2.23709,1.01863,1.09898,0.0049015,0.0049015,0.0049015
311,11199.3,1.13142,2.56197,1.31957,1.15595,0.66897,0.54302,0.5965,0.43713,0.66913,0.52115,0.57043,0.36663,1.01044,2.23663,1.01858,1.09895,0.004885,0.004885,0.004885
312,11630.7,1.12457,2.54852,1.31032,1.15104,0.66861,0.54361,0.59668,0.43729,0.66628,0.52319,0.57046,0.36695,1.01044,2.23614,1.01801,1.09906,0.0048685,0.0048685,0.0048685
313,12060.1,1.13069,2.55865,1.31974,1.15497,0.66939,0.54199,0.59637,0.43734,0.66643,0.52393,0.57071,0.3669,1.01071,2.23583,1.01776,1.099,0.004852,0.004852,0.004852
314,12489.9,1.12784,2.55409,1.31709,1.15337,0.66719,0.54445,0.59689,0.4376,0.66107,0.52661,0.57113,0.36725,1.01045,2.23495,1.0178,1.09894,0.0048355,0.0048355,0.0048355
315,12919.2,1.12691,2.55272,1.31812,1.15116,0.66644,0.5454,0.59757,0.43807,0.65878,0.52794,0.57151,0.36728,1.01021,2.23441,1.01826,1.09857,0.004819,0.004819,0.004819
