epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,736.41,3.33299,5.64465,5.16423,3.66662,0.13019,0.01948,0.00519,0.00222,0.00333,0.06116,0.00408,0.00157,2.41793,4.48498,3.98546,2.78783,0.00332973,0.00332973,0.00332973
2,1473.13,2.0566,4.06961,3.57603,2.13394,0.18954,0.0967,0.04872,0.02694,0.18446,0.08747,0.04191,0.01985,1.75815,3.77219,3.15148,1.9883,0.00665207,0.00665207,0.00665207
3,2206.8,1.67859,3.55909,2.8979,1.73791,0.25059,0.17642,0.12626,0.07693,0.24732,0.16064,0.11293,0.06016,1.50608,3.36184,2.49171,1.72158,0.00996341,0.00996341,0.00996341
4,2938.4,1.48906,3.25715,2.44993,1.55647,0.3444,0.25761,0.22193,0.1442,0.32925,0.2412,0.20397,0.11419,1.32591,3.01886,2.03207,1.54455,0.0099505,0.0099505,0.0099505
5,3668.97,1.37264,3.05663,2.14463,1.45659,0.4201,0.29503,0.27988,0.18656,0.41799,0.27283,0.26032,0.14988,1.24709,2.83765,1.80868,1.4686,0.009934,0.009934,0.009934
6,4399.63,1.30313,2.92203,1.96539,1.39586,0.47708,0.33578,0.3358,0.22824,0.47115,0.31493,0.3131,0.1844,1.19112,2.71248,1.65358,1.40771,0.0099175,0.0099175,0.0099175
7,5129.8,1.25747,2.83757,1.84532,1.35532,0.49794,0.35931,0.37468,0.26018,0.48877,0.34384,0.35195,0.21208,1.14798,2.62663,1.54209,1.36635,0.009901,0.009901,0.009901
8,5859.85,1.22349,2.75748,1.75468,1.32201,0.50955,0.38401,0.39915,0.27981,0.50516,0.36907,0.37637,0.231,1.11953,2.55649,1.46211,1.3351,0.0098845,0.0098845,0.0098845
9,6590.87,1.19233,2.6996,1.68394,1.29633,0.51908,0.41172,0.42588,0.30073,0.51803,0.38668,0.40111,0.24796,1.09401,2.50052,1.39006,1.30955,0.009868,0.009868,0.009868
10,7321.59,1.17267,2.65294,1.62165,1.27476,0.54752,0.42385,0.44532,0.31738,0.54065,0.40181,0.41982,0.26115,1.07115,2.44789,1.34095,1.28538,0.0098515,0.0098515,0.0098515
11,8052.14,1.16017,2.62534,1.5904,1.26306,0.56634,0.43392,0.4605,0.32876,0.55133,0.4165,0.43566,0.27147,1.05562,2.40476,1.30013,1.27043,0.009835,0.009835,0.009835
12,8783.15,1.13879,2.58848,1.54422,1.24563,0.58062,0.44287,0.47566,0.34117,0.57645,0.42202,0.45053,0.28279,1.04383,2.37655,1.26284,1.25733,0.0098185,0.0098185,0.0098185
13,9514.23,1.12656,2.57133,1.52429,1.23731,0.57667,0.45866,0.48788,0.35231,0.56412,0.44312,0.46288,0.29121,1.03113,2.35058,1.23561,1.24504,0.009802,0.009802,0.009802
14,10244.9,1.11594,2.53686,1.48654,1.22444,0.58817,0.46061,0.49764,0.36009,0.57405,0.44712,0.47312,0.29819,1.02153,2.3325,1.21157,1.23741,0.0097855,0.0097855,0.0097855
15,10975,1.10238,2.51547,1.47116,1.21737,0.58672,0.47148,0.50426,0.3661,0.58077,0.45272,0.48025,0.3027,1.01314,2.31199,1.19391,1.22753,0.009769,0.009769,0.009769
16,11705.3,1.09812,2.50324,1.45031,1.21152,0.6013,0.47559,0.51097,0.37118,0.58829,0.45962,0.48719,0.30755,1.00822,2.3003,1.17896,1.22222,0.0097525,0.0097525,0.0097525
17,12435.5,1.09438,2.49436,1.43182,1.20536,0.59734,0.47984,0.51567,0.37575,0.58924,0.4629,0.49198,0.31121,1.00346,2.29107,1.16776,1.21688,0.009736,0.009736,0.009736
18,13166,1.08179,2.46582,1.40554,1.19777,0.60566,0.48129,0.51977,0.37972,0.59581,0.46485,0.49546,0.3139,0.99911,2.2817,1.15858,1.21308,0.0097195,0.0097195,0.0097195
19,13896.4,1.07356,2.45342,1.3886,1.19128,0.60571,0.48373,0.52334,0.38285,0.5944,0.46791,0.49895,0.31668,0.99665,2.27461,1.15074,1.21046,0.009703,0.009703,0.009703
20,14626.3,1.06757,2.44624,1.38653,1.1877,0.60536,0.4867,0.52732,0.38576,0.60132,0.46724,0.50188,0.31899,0.99428,2.26791,1.14395,1.208,0.0096865,0.0096865,0.0096865
21,15356.9,1.06371,2.43476,1.37219,1.18389,0.61315,0.48687,0.5299,0.38774,0.60905,0.4673,0.50498,0.32065,0.99281,2.26366,1.13857,1.20632,0.00967,0.00967,0.00967
22,16087.5,1.05628,2.41584,1.35858,1.17836,0.60293,0.49193,0.53188,0.38938,0.60277,0.47248,0.50683,0.32209,0.99144,2.25928,1.13446,1.20489,0.0096535,0.0096535,0.0096535
23,16817.6,1.0538,2.41317,1.35211,1.17617,0.60442,0.49638,0.5333,0.39068,0.59739,0.4771,0.5078,0.32305,0.99034,2.25638,1.13075,1.20321,0.009637,0.009637,0.009637
24,17548,1.04746,2.40113,1.3355,1.17125,0.61257,0.49274,0.53437,0.39201,0.60071,0.47745,0.50923,0.32446,0.98896,2.2536,1.12771,1.20172,0.0096205,0.0096205,0.0096205
25,18278.9,1.04645,2.39638,1.32996,1.16916,0.61099,0.49507,0.53594,0.39333,0.60102,0.47831,0.5104,0.32565,0.9873,2.25142,1.12529,1.20023,0.009604,0.009604,0.009604
26,19008,1.0477,2.39387,1.32556,1.16849,0.6119,0.49631,0.53712,0.39469,0.59999,0.47995,0.5117,0.32684,0.98595,2.24923,1.12323,1.19918,0.0095875,0.0095875,0.0095875
27,19737.7,1.04669,2.39039,1.31578,1.16469,0.61576,0.49553,0.53817,0.39579,0.60537,0.47977,0.51328,0.32782,0.98547,2.24747,1.12194,1.19854,0.009571,0.009571,0.009571
28,20468.8,1.03922,2.37116,1.3049,1.16174,0.61982,0.49692,0.53953,0.39708,0.60626,0.4814,0.51407,0.32834,0.98492,2.24614,1.1216,1.19773,0.0095545,0.0095545,0.0095545
29,21198.9,1.03441,2.37369,1.29971,1.1591,0.62256,0.49777,0.54074,0.39793,0.61005,0.48214,0.51512,0.32901,0.9846,2.24621,1.12132,1.19716,0.009538,0.009538,0.009538
30,21928.9,1.03729,2.37439,1.29563,1.16178,0.62451,0.49848,0.54216,0.3988,0.6136,0.48216,0.51661,0.32965,0.98418,2.24533,1.12124,1.19675,0.0095215,0.0095215,0.0095215
31,22658.7,1.03058,2.35949,1.28808,1.15544,0.6303,0.49837,0.54287,0.39976,0.61694,0.48288,0.51732,0.33036,0.984,2.24531,1.12166,1.19656,0.009505,0.009505,0.009505
32,23388.2,1.02458,2.35081,1.28271,1.15624,0.62735,0.50041,0.54383,0.40063,0.61312,0.48513,0.51832,0.33111,0.98337,2.24524,1.12248,1.19579,0.0094885,0.0094885,0.0094885
33,24117.6,1.02504,2.3488,1.26775,1.15273,0.6312,0.49925,0.54493,0.4017,0.61426,0.48446,0.51888,0.33176,0.98259,2.24395,1.12378,1.19501,0.009472,0.009472,0.009472
34,24847.2,1.02707,2.34428,1.27316,1.14964,0.63293,0.5003,0.54615,0.40285,0.61765,0.48546,0.52074,0.33314,0.98195,2.24304,1.1242,1.19434,0.0094555,0.0094555,0.0094555
35,25576.4,1.01877,2.33738,1.26864,1.15007,0.63218,0.50145,0.54777,0.40449,0.6188,0.48537,0.52203,0.33422,0.98126,2.2422,1.12451,1.19357,0.009439,0.009439,0.009439
36,26305.5,1.02349,2.34418,1.26086,1.14795,0.63489,0.50063,0.54918,0.40583,0.62206,0.48475,0.5235,0.33507,0.98038,2.24237,1.12474,1.19285,0.0094225,0.0094225,0.0094225
37,27034.7,1.01737,2.32672,1.25273,1.14543,0.64158,0.49806,0.55076,0.40706,0.62495,0.48395,0.52474,0.33614,0.97935,2.24217,1.12404,1.19196,0.009406,0.009406,0.009406
38,27764.5,1.01693,2.33549,1.24642,1.14452,0.6396,0.49926,0.55215,0.40803,0.62649,0.48302,0.52559,0.33693,0.97833,2.24034,1.12347,1.19096,0.0093895,0.0093895,0.0093895
39,28495.1,1.01104,2.324,1.23958,1.14159,0.63905,0.50063,0.55359,0.40932,0.62381,0.4839,0.52656,0.33749,0.97705,2.23898,1.12256,1.18991,0.009373,0.009373,0.009373
40,29224.5,1.00904,2.30897,1.23919,1.13973,0.64086,0.50151,0.55491,0.41027,0.62897,0.48379,0.52798,0.33883,0.97595,2.23771,1.12166,1.18871,0.0093565,0.0093565,0.0093565
41,29954.3,1.01239,2.31245,1.23584,1.13954,0.64278,0.50269,0.55661,0.412,0.63113,0.48621,0.52983,0.34011,0.97463,2.23659,1.12063,1.18735,0.00934,0.00934,0.00934
42,30683.5,1.00925,2.31221,1.23238,1.13829,0.64205,0.50485,0.55827,0.4136,0.63394,0.48479,0.53138,0.34129,0.97352,2.23479,1.11882,1.18594,0.0093235,0.0093235,0.0093235
43,31413.7,1.00885,2.30485,1.23037,1.13917,0.64698,0.50467,0.56019,0.41499,0.63749,0.48463,0.53244,0.3423,0.97186,2.23201,1.116,1.18455,0.009307,0.009307,0.009307
44,32142.8,1.0032,2.29843,1.2271,1.13601,0.65193,0.50498,0.5614,0.41605,0.63926,0.4862,0.53325,0.34327,0.97047,2.22955,1.11318,1.18296,0.0092905,0.0092905,0.0092905
45,32872.3,1.00016,2.29644,1.22142,1.13193,0.64928,0.50888,0.56297,0.41771,0.63702,0.48948,0.53466,0.34448,0.96931,2.22675,1.11023,1.18139,0.009274,0.009274,0.009274
46,33601.1,1.00463,2.30111,1.21489,1.1326,0.65199,0.5123,0.56461,0.41928,0.64213,0.48937,0.53574,0.3458,0.96794,2.22381,1.10666,1.17964,0.0092575,0.0092575,0.0092575
47,34331,1.00338,2.29769,1.21745,1.13544,0.64905,0.51458,0.56629,0.42084,0.64134,0.49188,0.53682,0.34691,0.96631,2.22066,1.1029,1.17779,0.009241,0.009241,0.009241
48,35061.6,1.00349,2.29501,1.20863,1.13282,0.65054,0.51711,0.56806,0.42256,0.63926,0.49406,0.53875,0.34814,0.96467,2.21682,1.09889,1.17599,0.0092245,0.0092245,0.0092245
49,35790.7,0.9986,2.28708,1.20746,1.13135,0.65255,0.51838,0.56985,0.42377,0.6439,0.49421,0.54056,0.34919,0.96318,2.21284,1.09409,1.17419,0.009208,0.009208,0.009208
50,36519.4,0.9986,2.28995,1.20959,1.13232,0.65524,0.51902,0.57164,0.4256,0.64607,0.49659,0.54257,0.35085,0.96179,2.20825,1.08919,1.17252,0.0091915,0.0091915,0.0091915
51,37248.7,0.99647,2.28625,1.20774,1.13103,0.6547,0.5211,0.57363,0.42723,0.64418,0.50052,0.54475,0.35231,0.96052,2.20395,1.08464,1.17089,0.009175,0.009175,0.009175
52,37978.4,0.99803,2.28093,1.20072,1.12956,0.65383,0.52314,0.57545,0.42857,0.64551,0.50106,0.54655,0.35327,0.95916,2.20008,1.08064,1.16929,0.0091585,0.0091585,0.0091585
53,38709.2,0.99076,2.27193,1.19083,1.12722,0.65891,0.52112,0.577,0.43015,0.64668,0.50179,0.54841,0.35469,0.95762,2.19606,1.07666,1.16784,0.009142,0.009142,0.009142
54,39438.8,0.99086,2.26661,1.1887,1.12597,0.65844,0.52359,0.57902,0.43194,0.64828,0.50388,0.5508,0.35615,0.95576,2.19165,1.07219,1.16598,0.0091255,0.0091255,0.0091255
55,40168,0.99056,2.26447,1.18362,1.12423,0.65947,0.52428,0.58075,0.4333,0.65309,0.50363,0.55264,0.35756,0.9542,2.18746,1.06786,1.16434,0.009109,0.009109,0.009109
56,40897.4,0.98432,2.25412,1.17782,1.12222,0.66177,0.52477,0.58257,0.43466,0.65437,0.50433,0.55405,0.35871,0.95255,2.18331,1.06309,1.16253,0.0090925,0.0090925,0.0090925
57,41627.7,0.98282,2.25287,1.1777,1.12123,0.66427,0.52462,0.5841,0.43588,0.65593,0.50479,0.55526,0.3597,0.95084,2.17984,1.05831,1.16078,0.009076,0.009076,0.009076
58,42357.4,0.98676,2.25547,1.17854,1.12326,0.66409,0.52699,0.58605,0.43749,0.65604,0.50734,0.55741,0.36109,0.94953,2.17563,1.05321,1.15951,0.0090595,0.0090595,0.0090595
59,43086.1,0.98152,2.24857,1.17614,1.12152,0.66433,0.52942,0.58781,0.43878,0.65516,0.51018,0.55915,0.36253,0.94842,2.17081,1.04882,1.15816,0.009043,0.009043,0.009043
60,43815.4,0.98416,2.26331,1.17406,1.12095,0.66702,0.53064,0.58967,0.44019,0.65903,0.51083,0.56089,0.36383,0.947,2.16604,1.04448,1.15641,0.0090265,0.0090265,0.0090265
61,44545.5,0.98001,2.23866,1.16714,1.11842,0.66891,0.53113,0.59142,0.44146,0.66028,0.51296,0.56338,0.3651,0.94582,2.16202,1.03992,1.15506,0.00901,0.00901,0.00901
62,45274.7,0.98047,2.24607,1.17161,1.12012,0.66594,0.53605,0.59323,0.44289,0.65826,0.51551,0.56481,0.366,0.94489,2.15864,1.03564,1.15394,0.0089935,0.0089935,0.0089935
63,46004.7,0.97998,2.24614,1.16152,1.11805,0.66787,0.53704,0.59483,0.44424,0.65897,0.51837,0.56622,0.36704,0.94352,2.15485,1.03149,1.15239,0.008977,0.008977,0.008977
