epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.233,3.54163,5.39216,3.9714,0.00135,0.02354,0.0011,0.00035,2.97616,4.86894,3.45183,0.00332613,0.00332613,0.00332613
2,729.555,2.30363,3.91965,2.43537,0.31952,0.04899,0.02561,0.01307,1.98057,3.41465,2.2233,0.00664848,0.00664848,0.00664848
3,1091.19,1.8274,3.1916,1.88439,0.21283,0.10002,0.0649,0.0371,1.74881,2.94989,1.94857,0.00995982,0.00995982,0.00995982
4,1452.73,1.60116,2.70508,1.66645,0.27703,0.19019,0.14087,0.08685,1.48965,2.38257,1.6951,0.0099505,0.0099505,0.0099505
5,1814.33,1.4753,2.3893,1.55454,0.3394,0.23909,0.20687,0.13179,1.39362,2.13034,1.61592,0.009934,0.009934,0.009934
6,2175.8,1.40829,2.18819,1.49421,0.386,0.27097,0.24944,0.16321,1.3232,1.9248,1.53696,0.0099175,0.0099175,0.0099175
7,2534.96,1.35441,2.04483,1.45347,0.43098,0.30008,0.28598,0.19095,1.27747,1.82734,1.49182,0.009901,0.009901,0.009901
8,2894.28,1.31583,1.93876,1.4209,0.44276,0.32763,0.3254,0.2197,1.23644,1.68947,1.45386,0.0098845,0.0098845,0.0098845
9,3252.31,1.27925,1.83502,1.38809,0.47904,0.34585,0.34741,0.23646,1.20853,1.62327,1.42997,0.009868,0.009868,0.009868
10,3611.59,1.26367,1.79073,1.37453,0.50044,0.36225,0.3705,0.25488,1.17738,1.54534,1.39548,0.0098515,0.0098515,0.0098515
11,3971.71,1.24771,1.75179,1.35656,0.50786,0.3783,0.3948,0.27265,1.16012,1.4879,1.37694,0.009835,0.009835,0.009835
12,4330.15,1.23304,1.70151,1.33882,0.53153,0.38873,0.40945,0.2849,1.14367,1.43538,1.36292,0.0098185,0.0098185,0.0098185
13,4689.47,1.21797,1.65745,1.32499,0.51192,0.41863,0.4231,0.29661,1.12189,1.40367,1.34174,0.009802,0.009802,0.009802
14,5048.86,1.20506,1.63041,1.31296,0.54019,0.41358,0.43411,0.30545,1.10668,1.36843,1.32572,0.0097855,0.0097855,0.0097855
15,5407.28,1.1934,1.60515,1.3035,0.55139,0.42209,0.44786,0.3177,1.09904,1.33586,1.32112,0.009769,0.009769,0.009769
16,5767.06,1.18673,1.58589,1.29675,0.54396,0.43635,0.45959,0.32521,1.08788,1.3065,1.30303,0.0097525,0.0097525,0.0097525
17,6124.82,1.17533,1.57322,1.28893,0.56197,0.44386,0.47077,0.33445,1.0795,1.27891,1.29726,0.009736,0.009736,0.009736
18,6482.53,1.17345,1.54737,1.28488,0.58281,0.44025,0.48066,0.34274,1.06913,1.25669,1.28573,0.0097195,0.0097195,0.0097195
19,6839.85,1.16344,1.53155,1.27314,0.58044,0.45427,0.48776,0.3482,1.05882,1.24108,1.27827,0.009703,0.009703,0.009703
20,7197.69,1.15031,1.51215,1.26849,0.56494,0.46949,0.49512,0.35484,1.05297,1.22145,1.27062,0.0096865,0.0096865,0.0096865
21,7555.92,1.15036,1.49662,1.26527,0.59939,0.46391,0.50342,0.36123,1.04539,1.20435,1.26498,0.00967,0.00967,0.00967
22,7914.05,1.13996,1.49026,1.25608,0.60981,0.46202,0.50729,0.3654,1.04102,1.18814,1.25933,0.0096535,0.0096535,0.0096535
23,8271.39,1.13553,1.47631,1.24949,0.58706,0.48463,0.51564,0.37221,1.03356,1.17799,1.25149,0.009637,0.009637,0.009637
24,8625.93,1.13,1.46013,1.24904,0.60554,0.47706,0.5192,0.37449,1.0313,1.16719,1.24957,0.0096205,0.0096205,0.0096205
25,8984.18,1.12803,1.45169,1.24646,0.60256,0.48519,0.52232,0.37666,1.02675,1.1599,1.24392,0.009604,0.009604,0.009604
26,9343.73,1.12772,1.4455,1.24439,0.60977,0.48712,0.52787,0.38208,1.02053,1.14849,1.23894,0.0095875,0.0095875,0.0095875
27,9700.65,1.13277,1.45224,1.24839,0.61992,0.48221,0.53038,0.3841,1.0197,1.14299,1.23791,0.009571,0.009571,0.009571
28,10058.8,1.12399,1.43474,1.23978,0.61708,0.48901,0.53425,0.38795,1.01739,1.13549,1.23486,0.0095545,0.0095545,0.0095545
29,10417.6,1.11507,1.4318,1.23434,0.6211,0.4929,0.53806,0.39037,1.01452,1.13058,1.23209,0.009538,0.009538,0.009538
30,10775.8,1.12171,1.41459,1.23478,0.60666,0.5039,0.54079,0.39222,1.01266,1.1243,1.23004,0.0095215,0.0095215,0.0095215
31,11135.7,1.11127,1.40795,1.23001,0.6187,0.49944,0.54326,0.39416,1.01009,1.11849,1.22785,0.009505,0.009505,0.009505
32,11492.1,1.10373,1.41104,1.22769,0.59637,0.51386,0.54531,0.39578,1.00854,1.11449,1.22646,0.0094885,0.0094885,0.0094885
33,11850.6,1.10555,1.39401,1.2278,0.60734,0.51013,0.54697,0.39744,1.0062,1.11013,1.2247,0.009472,0.009472,0.009472
34,12207.8,1.10146,1.39268,1.22226,0.6015,0.51724,0.54884,0.39892,1.00509,1.10603,1.22364,0.0094555,0.0094555,0.0094555
35,12566.6,1.10843,1.38475,1.22359,0.60959,0.51473,0.55016,0.40063,1.00371,1.10318,1.22238,0.009439,0.009439,0.009439
36,12925.3,1.09832,1.37084,1.21776,0.61334,0.51615,0.55216,0.40202,1.00261,1.09992,1.22107,0.0094225,0.0094225,0.0094225
37,13281.1,1.10007,1.37702,1.2212,0.61758,0.51693,0.55323,0.40277,1.00176,1.09679,1.22001,0.009406,0.009406,0.009406
38,13639.2,1.09355,1.36312,1.21554,0.61409,0.5204,0.55445,0.40395,1.00051,1.09435,1.21869,0.0093895,0.0093895,0.0093895
39,13997,1.08972,1.36316,1.21266,0.61986,0.51747,0.55521,0.40479,0.99916,1.09201,1.21766,0.009373,0.009373,0.009373
40,14355.4,1.09433,1.35736,1.21229,0.62319,0.51662,0.55567,0.40545,0.9985,1.08989,1.21661,0.0093565,0.0093565,0.0093565
41,14711.7,1.09375,1.35364,1.21038,0.62704,0.51541,0.55623,0.40592,0.99815,1.08801,1.21579,0.00934,0.00934,0.00934
42,15068.3,1.09111,1.35549,1.21019,0.62501,0.51529,0.55662,0.40663,0.99739,1.08637,1.21495,0.0093235,0.0093235,0.0093235
