epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.032,3.75759,5.78554,4.2573,0.00135,0.00948,0.00076,0.00022,3.57882,inf,4.50633,0.00332624,0.00332624,0.00332624
2,458.403,2.89543,4.61201,3.10287,0.29747,0.03586,0.01655,0.0075,2.1088,3.5785,2.371,0.00664859,0.00664859,0.00664859
3,682.518,1.91334,3.30539,1.96412,0.20334,0.13522,0.08037,0.04487,1.71478,2.85102,1.92271,0.00995993,0.00995993,0.00995993
4,901.17,1.64603,2.75967,1.69423,0.3184,0.19713,0.15831,0.09692,1.52993,2.3705,1.72042,0.0099505,0.0099505,0.0099505
5,1118.73,1.52119,2.44737,1.57609,0.36693,0.24688,0.21804,0.13772,1.42324,2.10506,1.5999,0.009934,0.009934,0.009934
6,1336.87,1.45317,2.25547,1.51666,0.42805,0.28246,0.26695,0.17281,1.35181,1.92789,1.54022,0.0099175,0.0099175,0.0099175
7,1554.95,1.39118,2.10557,1.46403,0.41956,0.30608,0.29622,0.19552,1.30648,1.80795,1.48663,0.009901,0.009901,0.009901
8,1772.98,1.35772,2.01352,1.43071,0.46721,0.32213,0.32278,0.21409,1.27786,1.71611,1.45568,0.0098845,0.0098845,0.0098845
9,1991.28,1.33123,1.9331,1.40555,0.48652,0.35106,0.35413,0.23899,1.23672,1.62655,1.41138,0.009868,0.009868,0.009868
10,2209.12,1.30468,1.85829,1.37786,0.49634,0.3632,0.37396,0.25521,1.21159,1.5633,1.38453,0.0098515,0.0098515,0.0098515
11,2426.91,1.287,1.80485,1.3593,0.50987,0.37693,0.39679,0.27063,1.1889,1.51154,1.3669,0.009835,0.009835,0.009835
12,2644.37,1.27785,1.77148,1.34662,0.5323,0.38979,0.41128,0.28398,1.17547,1.46115,1.34696,0.0098185,0.0098185,0.0098185
13,2861.51,1.25544,1.73015,1.33121,0.52993,0.41316,0.42792,0.29731,1.15586,1.41481,1.32452,0.009802,0.009802,0.009802
14,3079,1.24158,1.69425,1.31742,0.55253,0.41956,0.44285,0.30811,1.14058,1.37871,1.31584,0.0097855,0.0097855,0.0097855
15,3295.66,1.23543,1.67475,1.30909,0.53914,0.44174,0.45665,0.31915,1.13121,1.34515,1.30152,0.009769,0.009769,0.009769
16,3513.13,1.22724,1.64628,1.29873,0.55513,0.44553,0.46721,0.32909,1.11566,1.31268,1.28799,0.0097525,0.0097525,0.0097525
17,3732.15,1.22064,1.61822,1.28902,0.57044,0.44376,0.47583,0.33639,1.10562,1.29087,1.27658,0.009736,0.009736,0.009736
18,3949.55,1.20593,1.59937,1.28216,0.55173,0.46238,0.48261,0.34181,1.09607,1.27307,1.26557,0.0097195,0.0097195,0.0097195
19,4166.66,1.20318,1.58633,1.2769,0.57055,0.46408,0.49318,0.34851,1.08717,1.2508,1.257,0.009703,0.009703,0.009703
20,4383.95,1.19769,1.57117,1.26954,0.60324,0.45845,0.50148,0.35704,1.07542,1.23419,1.24688,0.0096865,0.0096865,0.0096865
21,4602.05,1.19264,1.54866,1.26781,0.59093,0.47487,0.50738,0.36171,1.07023,1.21942,1.24206,0.00967,0.00967,0.00967
22,4819.72,1.18706,1.5425,1.26186,0.59996,0.47291,0.51203,0.36676,1.06315,1.20297,1.23412,0.0096535,0.0096535,0.0096535
23,5036.93,1.18531,1.52826,1.25546,0.60808,0.47955,0.51818,0.37063,1.06204,1.19082,1.23166,0.009637,0.009637,0.009637
24,5254.19,1.17295,1.52003,1.25339,0.60491,0.48604,0.52245,0.37456,1.05624,1.18189,1.22771,0.0096205,0.0096205,0.0096205
25,5470.38,1.16976,1.50801,1.24896,0.60136,0.49137,0.52632,0.37875,1.0517,1.17037,1.22234,0.009604,0.009604,0.009604
26,5687.65,1.17326,1.49759,1.24497,0.60634,0.49194,0.52983,0.38133,1.04793,1.16249,1.2178,0.0095875,0.0095875,0.0095875
27,5904.15,1.16347,1.48895,1.23981,0.61015,0.49637,0.53427,0.38592,1.04444,1.1543,1.21546,0.009571,0.009571,0.009571
28,6120.46,1.15641,1.476,1.23837,0.61157,0.50328,0.53788,0.38766,1.04108,1.1479,1.21184,0.0095545,0.0095545,0.0095545
29,6338.28,1.1558,1.47662,1.23569,0.61677,0.5043,0.54061,0.39102,1.03745,1.14205,1.20823,0.009538,0.009538,0.009538
30,6556.05,1.15242,1.46182,1.23391,0.63186,0.50191,0.54258,0.39275,1.03377,1.13541,1.20575,0.0095215,0.0095215,0.0095215
31,6771.78,1.15334,1.45779,1.22935,0.6359,0.50173,0.54503,0.39444,1.0309,1.13175,1.20244,0.009505,0.009505,0.009505
32,6988.88,1.14635,1.44233,1.22493,0.65038,0.49717,0.54734,0.39628,1.02938,1.12714,1.20061,0.0094885,0.0094885,0.0094885
33,7206.43,1.1443,1.4337,1.2217,0.6482,0.49778,0.54926,0.39768,1.02808,1.12317,1.199,0.009472,0.009472,0.009472
34,7423.93,1.14458,1.44784,1.2277,0.64995,0.49908,0.55088,0.39905,1.0265,1.11926,1.19762,0.0094555,0.0094555,0.0094555
35,7641.5,1.14111,1.44026,1.22172,0.64414,0.50335,0.55263,0.40044,1.02508,1.11547,1.19606,0.009439,0.009439,0.009439
36,7858.79,1.13964,1.43017,1.22179,0.64552,0.5043,0.55389,0.40162,1.02351,1.1127,1.19422,0.0094225,0.0094225,0.0094225
37,8074.64,1.13777,1.42434,1.21992,0.64423,0.50612,0.55547,0.40274,1.02263,1.10996,1.19339,0.009406,0.009406,0.009406
38,8291.82,1.13405,1.41841,1.21552,0.64272,0.50881,0.55645,0.40385,1.02124,1.10776,1.1919,0.0093895,0.0093895,0.0093895
39,8509.31,1.13466,1.41171,1.21555,0.64659,0.50863,0.55726,0.40447,1.02047,1.10598,1.19121,0.009373,0.009373,0.009373
40,8725.12,1.13679,1.41067,1.21514,0.64205,0.511,0.55767,0.40491,1.01972,1.10465,1.19046,0.0093565,0.0093565,0.0093565
41,8942.47,1.13213,1.39941,1.21152,0.64482,0.51075,0.55819,0.40533,1.01924,1.10335,1.18981,0.00934,0.00934,0.00934
42,9160.15,1.12975,1.40782,1.21287,0.64526,0.51314,0.55874,0.40601,1.01848,1.10179,1.18907,0.0093235,0.0093235,0.0093235
43,9377.14,1.12971,1.3973,1.21005,0.64561,0.51292,0.55943,0.40658,1.01814,1.10061,1.18866,0.009307,0.009307,0.009307
44,9595.32,1.13066,1.39071,1.20627,0.64199,0.51575,0.56027,0.40716,1.01785,1.09939,1.1882,0.0092905,0.0092905,0.0092905
45,9812.55,1.12516,1.38763,1.20707,0.64483,0.51549,0.56093,0.40773,1.01779,1.09862,1.18787,0.009274,0.009274,0.009274
46,10029.4,1.12861,1.38697,1.20601,0.64067,0.51782,0.56141,0.4084,1.01752,1.09817,1.18752,0.0092575,0.0092575,0.0092575
47,10247.3,1.12164,1.3885,1.2047,0.63842,0.5188,0.5614,0.40852,1.01712,1.09764,1.18706,0.009241,0.009241,0.009241
48,10465.5,1.12266,1.37388,1.20207,0.63585,0.52031,0.56187,0.40891,1.01678,1.09704,1.18678,0.0092245,0.0092245,0.0092245
49,10685.3,1.12152,1.3771,1.20493,0.64017,0.51867,0.56207,0.40915,1.01666,1.09654,1.1865,0.009208,0.009208,0.009208
50,10905.1,1.12122,1.37008,1.19985,0.64408,0.51663,0.56228,0.40945,1.0166,1.09628,1.18632,0.0091915,0.0091915,0.0091915
51,11123.6,1.11494,1.36641,1.19836,0.64489,0.51672,0.56237,0.40984,1.01634,1.0964,1.18609,0.009175,0.009175,0.009175
52,11342.7,1.11866,1.3642,1.19793,0.64851,0.51521,0.56262,0.40997,1.01624,1.09635,1.18594,0.0091585,0.0091585,0.0091585
53,11558.5,1.11407,1.36775,1.1981,0.64696,0.51667,0.56279,0.40984,1.0163,1.0966,1.18599,0.009142,0.009142,0.009142
54,11775.5,1.11778,1.36121,1.19576,0.64733,0.51682,0.56247,0.41034,1.01614,1.09678,1.18578,0.0091255,0.0091255,0.0091255
55,11992.2,1.1059,1.35561,1.19196,0.64797,0.51612,0.56266,0.41061,1.01587,1.0972,1.18551,0.009109,0.009109,0.009109
56,12207.5,1.10781,1.35091,1.19263,0.64877,0.51677,0.56298,0.41099,1.01563,1.09765,1.18537,0.0090925,0.0090925,0.0090925
57,12425.1,1.11351,1.35265,1.19081,0.64913,0.51639,0.56274,0.41116,1.0157,1.09823,1.18535,0.009076,0.009076,0.009076
58,12642.1,1.10913,1.35031,1.19335,0.64983,0.51576,0.56302,0.41116,1.01592,1.09895,1.18553,0.0090595,0.0090595,0.0090595
59,12859.8,1.10371,1.34279,1.18984,0.65108,0.51476,0.5631,0.41141,1.0159,1.09991,1.18545,0.009043,0.009043,0.009043
