epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.762,3.61446,5.7165,4.17962,0.00092,0.01491,0.00054,0.00018,3.19302,4.99076,3.79154,0.00332973,0.00332973,0.00332973
2,649.67,2.26637,4.16284,2.49204,0.27562,0.04489,0.02078,0.01064,2.00252,3.39978,2.20448,0.00665207,0.00665207,0.00665207
3,978.567,1.77427,3.27266,1.89892,0.21491,0.12655,0.06649,0.03691,1.75599,2.9796,1.89265,0.00996341,0.00996341,0.00996341
4,1307.4,1.60564,2.7972,1.70157,0.24668,0.17362,0.12862,0.07582,1.61567,2.46715,1.72148,0.0099505,0.0099505,0.0099505
5,1635.07,1.50994,2.5198,1.59697,0.31133,0.2228,0.18235,0.11175,1.52908,2.21617,1.62298,0.009934,0.009934,0.009934
6,1961.04,1.45649,2.35865,1.53563,0.36033,0.24459,0.22034,0.13922,1.46846,2.05778,1.55714,0.0099175,0.0099175,0.0099175
7,2290.65,1.417,2.2527,1.49453,0.39972,0.26603,0.25225,0.16139,1.419,1.93793,1.50602,0.009901,0.009901,0.009901
8,2621.69,1.38985,2.16785,1.46509,0.44145,0.28148,0.27684,0.18132,1.38689,1.85785,1.46767,0.0098845,0.0098845,0.0098845
9,2950.4,1.37019,2.11102,1.44339,0.4585,0.30734,0.30009,0.19917,1.35601,1.78037,1.44101,0.009868,0.009868,0.009868
10,3279.62,1.35129,2.05451,1.42415,0.47881,0.31746,0.31787,0.21192,1.33351,1.72275,1.41545,0.0098515,0.0098515,0.0098515
11,3609.88,1.33685,2.01517,1.40588,0.48338,0.32995,0.33267,0.22407,1.31297,1.67756,1.39317,0.009835,0.009835,0.009835
12,3940.41,1.33154,1.97415,1.39561,0.47965,0.342,0.34484,0.23362,1.29689,1.63886,1.37764,0.0098185,0.0098185,0.0098185
13,4272.35,1.3167,1.9493,1.38274,0.50526,0.34551,0.35612,0.24115,1.28667,1.60853,1.36643,0.009802,0.009802,0.009802
14,4600.09,1.30466,1.92241,1.37247,0.51531,0.35137,0.36458,0.24779,1.2743,1.58413,1.35307,0.0097855,0.0097855,0.0097855
15,4933,1.30222,1.90276,1.3651,0.52715,0.35428,0.37061,0.2517,1.26604,1.56569,1.34357,0.009769,0.009769,0.009769
16,5262.14,1.29384,1.88023,1.35644,0.53782,0.35771,0.37728,0.25752,1.26007,1.55003,1.33692,0.0097525,0.0097525,0.0097525
17,5590.87,1.28866,1.8645,1.35015,0.53685,0.36545,0.38084,0.26024,1.25405,1.53822,1.33002,0.009736,0.009736,0.009736
18,5920.32,1.27991,1.84866,1.34247,0.53522,0.37042,0.38424,0.26319,1.24943,1.52864,1.32491,0.0097195,0.0097195,0.0097195
19,6250.09,1.28066,1.82912,1.33948,0.53258,0.37307,0.38651,0.26498,1.24562,1.52037,1.32052,0.009703,0.009703,0.009703
20,6580.61,1.27256,1.81942,1.33268,0.53567,0.37365,0.38911,0.26717,1.24262,1.51322,1.3167,0.0096865,0.0096865,0.0096865
21,6915.06,1.27083,1.80509,1.328,0.53215,0.37498,0.39103,0.26828,1.24028,1.50838,1.31386,0.00967,0.00967,0.00967
22,7245.99,1.26626,1.79999,1.32385,0.53497,0.37586,0.39292,0.26952,1.23823,1.50364,1.31153,0.0096535,0.0096535,0.0096535
23,7577.51,1.26293,1.78655,1.31944,0.54011,0.37449,0.39426,0.27077,1.23675,1.49961,1.30946,0.009637,0.009637,0.009637
24,7908.35,1.25742,1.77205,1.3154,0.5422,0.37421,0.39572,0.27208,1.23479,1.49734,1.30724,0.0096205,0.0096205,0.0096205
25,8238.1,1.25381,1.76546,1.31051,0.54592,0.37328,0.3968,0.27329,1.23325,1.49571,1.30554,0.009604,0.009604,0.009604
26,8568.61,1.25615,1.75753,1.30922,0.55007,0.37474,0.3978,0.27423,1.23257,1.49449,1.30422,0.0095875,0.0095875,0.0095875
27,8900.31,1.25356,1.75251,1.30648,0.5513,0.3744,0.3984,0.27492,1.23177,1.49466,1.3028,0.009571,0.009571,0.009571
28,9231.89,1.24783,1.73935,1.30311,0.55004,0.37677,0.39936,0.27581,1.23094,1.49542,1.30125,0.0095545,0.0095545,0.0095545
29,9561.91,1.24637,1.73479,1.30174,0.55213,0.3769,0.40006,0.27596,1.23008,1.4966,1.29997,0.009538,0.009538,0.009538
30,9894.7,1.24477,1.72883,1.29998,0.55455,0.37406,0.40055,0.27718,1.22931,1.49796,1.29852,0.0095215,0.0095215,0.0095215
31,10226.2,1.24229,1.71824,1.29597,0.55346,0.37615,0.40083,0.27724,1.22836,1.49994,1.29699,0.009505,0.009505,0.009505
