epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.11,3.6952,5.83031,4.23149,0.00114,0.00945,0.00061,0.00016,3.5374,inf,4.46334,0.00332613,0.00332613,0.00332613
2,578.589,2.91633,4.79574,3.15835,0.44062,0.01428,0.00958,0.00445,2.15523,3.69531,2.41346,0.00664848,0.00664848,0.00664848
3,862.381,1.93738,3.51428,2.01478,0.20577,0.10239,0.04722,0.02509,1.80153,3.14801,1.98017,0.00995982,0.00995982,0.00995982
4,1145.14,1.68913,2.93671,1.74533,0.19753,0.1507,0.1102,0.06621,1.61122,2.61876,1.77508,0.0099505,0.0099505,0.0099505
5,1426.99,1.57039,2.61881,1.62349,0.31664,0.20592,0.16833,0.10311,1.51984,2.26101,1.65756,0.009934,0.009934,0.009934
6,1707.13,1.50217,2.43929,1.5564,0.34403,0.2381,0.20434,0.12951,1.44868,2.10837,1.5879,0.0099175,0.0099175,0.0099175
7,1987.31,1.45854,2.30026,1.51284,0.39819,0.2622,0.24489,0.15851,1.40684,2.00202,1.55671,0.009901,0.009901,0.009901
8,2267.72,1.42535,2.19749,1.47506,0.42939,0.28161,0.27464,0.17906,1.36134,1.88927,1.50221,0.0098845,0.0098845,0.0098845
9,2547.62,1.40169,2.13288,1.45274,0.43747,0.30164,0.29801,0.19697,1.33103,1.79759,1.46806,0.009868,0.009868,0.009868
10,2828.34,1.38068,2.06441,1.42857,0.45225,0.31402,0.31478,0.21174,1.29499,1.73328,1.42796,0.0098515,0.0098515,0.0098515
11,3107.49,1.359,2.00528,1.40673,0.46732,0.3392,0.34006,0.22818,1.27663,1.67079,1.411,0.009835,0.009835,0.009835
12,3389.31,1.35078,1.96083,1.39465,0.49519,0.34458,0.35392,0.23947,1.25741,1.61904,1.3866,0.0098185,0.0098185,0.0098185
13,3668.87,1.33555,1.93086,1.37872,0.49438,0.36023,0.36694,0.24926,1.24143,1.58227,1.373,0.009802,0.009802,0.009802
