epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.144,3.53753,5.38193,3.91724,0.00119,0.02627,0.00096,0.00035,2.93547,4.52397,3.39578,0.00332613,0.00332613,0.00332613
2,623.325,2.26001,3.82624,2.34111,0.21546,0.06365,0.03098,0.01565,1.97566,3.31661,2.1997,0.00664848,0.00664848,0.00664848
3,930.789,1.78232,3.10465,1.84023,0.19493,0.11594,0.07278,0.04325,1.68467,2.8528,1.87868,0.00995982,0.00995982,0.00995982
4,1236.63,1.56372,2.6165,1.64123,0.30558,0.19174,0.16445,0.10345,1.43722,2.30146,1.65294,0.0099505,0.0099505,0.0099505
5,1544.54,1.44278,2.27005,1.52528,0.3656,0.24942,0.22205,0.14432,1.34693,2.06805,1.57195,0.009934,0.009934,0.009934
6,1849.34,1.36496,2.09763,1.47428,0.42152,0.29867,0.28447,0.18887,1.27318,1.84168,1.50791,0.0099175,0.0099175,0.0099175
7,2155.35,1.30746,1.94482,1.42002,0.46204,0.32324,0.32422,0.21807,1.22177,1.70409,1.45381,0.009901,0.009901,0.009901
8,2460.13,1.26906,1.83162,1.38394,0.49588,0.34186,0.35229,0.24177,1.18865,1.61329,1.42298,0.0098845,0.0098845,0.0098845
9,2765.92,1.23149,1.74731,1.3567,0.4939,0.37366,0.37928,0.26203,1.16124,1.53552,1.39247,0.009868,0.009868,0.009868
10,3069.85,1.21086,1.68962,1.33569,0.51614,0.38184,0.40108,0.27852,1.13862,1.4845,1.37153,0.0098515,0.0098515,0.0098515
11,3375.3,1.19628,1.64303,1.31867,0.53384,0.39743,0.41812,0.29388,1.11509,1.41629,1.3501,0.009835,0.009835,0.009835
12,3681.04,1.18525,1.61193,1.30853,0.54713,0.40695,0.43511,0.30641,1.1057,1.39159,1.341,0.0098185,0.0098185,0.0098185
13,3985.97,1.16991,1.57434,1.29448,0.55305,0.42178,0.44911,0.31817,1.09266,1.34152,1.31887,0.009802,0.009802,0.009802
14,4290.59,1.15198,1.53256,1.27779,0.5569,0.4374,0.46278,0.32906,1.07449,1.30439,1.30814,0.0097855,0.0097855,0.0097855
15,4595.24,1.14179,1.5164,1.27045,0.58674,0.43895,0.47367,0.33872,1.06524,1.27719,1.29545,0.009769,0.009769,0.009769
16,4898.98,1.13872,1.49384,1.26257,0.57458,0.45436,0.48447,0.3468,1.05574,1.24313,1.28539,0.0097525,0.0097525,0.0097525
17,5205.16,1.12688,1.46953,1.25033,0.57555,0.46533,0.49351,0.35531,1.04223,1.22463,1.27319,0.009736,0.009736,0.009736
18,5508.93,1.12009,1.45174,1.24897,0.59437,0.46794,0.50332,0.36234,1.03808,1.20352,1.26695,0.0097195,0.0097195,0.0097195
19,5813.75,1.1111,1.43243,1.23965,0.61302,0.46884,0.51019,0.36895,1.02899,1.18605,1.25962,0.009703,0.009703,0.009703
20,6118.37,1.09904,1.42304,1.23529,0.61973,0.4828,0.52156,0.37862,1.02059,1.16282,1.25218,0.0096865,0.0096865,0.0096865
21,6421.81,1.10574,1.4222,1.2347,0.61253,0.48684,0.52441,0.38026,1.01739,1.15207,1.24886,0.00967,0.00967,0.00967
22,6726.05,1.09207,1.40351,1.22664,0.61737,0.49193,0.53084,0.38529,1.01191,1.13948,1.24325,0.0096535,0.0096535,0.0096535
23,7029.78,1.08515,1.37524,1.21742,0.63202,0.48806,0.5377,0.39165,1.00373,1.12479,1.23509,0.009637,0.009637,0.009637
24,7333.78,1.08123,1.36399,1.21569,0.63673,0.48975,0.54051,0.39376,1.00098,1.11508,1.23235,0.0096205,0.0096205,0.0096205
25,7639.62,1.0728,1.37242,1.21609,0.64182,0.4966,0.54646,0.39902,0.99461,1.1055,1.22733,0.009604,0.009604,0.009604
26,7944.45,1.0787,1.35855,1.21423,0.64515,0.49988,0.55166,0.40315,0.99341,1.09673,1.22544,0.0095875,0.0095875,0.0095875
27,8248.25,1.07816,1.34973,1.20947,0.6379,0.50982,0.55358,0.40541,0.98915,1.0896,1.22136,0.009571,0.009571,0.009571
28,8553.81,1.06808,1.33786,1.20514,0.64436,0.51157,0.55693,0.40808,0.98608,1.08137,1.21929,0.0095545,0.0095545,0.0095545
29,8857.17,1.06655,1.337,1.20747,0.63634,0.51665,0.56006,0.41111,0.98385,1.07502,1.21604,0.009538,0.009538,0.009538
30,9161.31,1.06253,1.32559,1.2001,0.64786,0.51383,0.56279,0.41283,0.98107,1.0696,1.21321,0.0095215,0.0095215,0.0095215
31,9464.76,1.05418,1.31627,1.19738,0.6532,0.51213,0.5654,0.41528,0.97855,1.06479,1.21116,0.009505,0.009505,0.009505
32,9769.82,1.06026,1.32271,1.19813,0.628,0.52666,0.56821,0.41749,0.97704,1.06039,1.20947,0.0094885,0.0094885,0.0094885
33,10074.6,1.06154,1.31765,1.197,0.63569,0.52391,0.56923,0.41948,0.97612,1.0556,1.20826,0.009472,0.009472,0.009472
34,10379.3,1.05405,1.31111,1.19247,0.64914,0.51839,0.56989,0.42013,0.97518,1.05169,1.20721,0.0094555,0.0094555,0.0094555
35,10683,1.05785,1.30346,1.19611,0.65501,0.51805,0.57165,0.42169,0.97368,1.04873,1.2053,0.009439,0.009439,0.009439
36,10987.3,1.05032,1.28153,1.18459,0.66186,0.51824,0.57304,0.42279,0.97272,1.04556,1.2042,0.0094225,0.0094225,0.0094225
37,11290.6,1.04708,1.28131,1.19094,0.65857,0.52019,0.57436,0.42389,0.97225,1.04348,1.20327,0.009406,0.009406,0.009406
38,11594.6,1.03551,1.27169,1.1818,0.66303,0.51984,0.57497,0.42454,0.97154,1.04164,1.2022,0.0093895,0.0093895,0.0093895
39,11899.9,1.0398,1.27833,1.184,0.6605,0.52246,0.576,0.42559,0.97055,1.0402,1.20125,0.009373,0.009373,0.009373
40,12204.4,1.04224,1.27156,1.18312,0.66212,0.52151,0.57661,0.42616,0.96988,1.039,1.20051,0.0093565,0.0093565,0.0093565
41,12508.5,1.04127,1.26089,1.1803,0.65798,0.52613,0.57727,0.42678,0.96935,1.03773,1.20005,0.00934,0.00934,0.00934
42,12812.6,1.0444,1.26821,1.18152,0.66756,0.52127,0.57813,0.42749,0.96914,1.03643,1.19948,0.0093235,0.0093235,0.0093235
43,13116.8,1.03377,1.25446,1.17531,0.66593,0.52339,0.57869,0.42802,0.96884,1.03504,1.19912,0.009307,0.009307,0.009307
44,13421.3,1.03096,1.2536,1.17443,0.67268,0.52205,0.57893,0.42844,0.96833,1.03455,1.19835,0.0092905,0.0092905,0.0092905
45,13725.2,1.03107,1.24938,1.17555,0.67454,0.52164,0.57944,0.42866,0.96782,1.03379,1.19754,0.009274,0.009274,0.009274
46,14029.5,1.03215,1.25061,1.17408,0.66915,0.52391,0.57994,0.42903,0.96766,1.03313,1.19718,0.0092575,0.0092575,0.0092575
47,14333.9,1.03184,1.24318,1.173,0.66906,0.52434,0.58005,0.42924,0.96747,1.03288,1.19677,0.009241,0.009241,0.009241
48,14637.2,1.02617,1.23166,1.16687,0.66042,0.52809,0.5805,0.4295,0.96683,1.03256,1.19601,0.0092245,0.0092245,0.0092245
49,14940.8,1.02753,1.23594,1.1681,0.66494,0.5273,0.5809,0.4299,0.96642,1.03238,1.19553,0.009208,0.009208,0.009208
50,15244.1,1.02785,1.23939,1.17011,0.66462,0.52799,0.58109,0.43032,0.96624,1.03228,1.19512,0.0091915,0.0091915,0.0091915
51,15547.9,1.02543,1.23206,1.16951,0.66403,0.52733,0.58108,0.43077,0.96615,1.03223,1.19489,0.009175,0.009175,0.009175
52,15852.4,1.0251,1.22695,1.17046,0.65993,0.52988,0.58128,0.43077,0.96589,1.03237,1.1947,0.0091585,0.0091585,0.0091585
53,16156.1,1.01824,1.22256,1.16591,0.65814,0.53004,0.58138,0.43091,0.96585,1.03302,1.19456,0.009142,0.009142,0.009142
54,16459.8,1.01989,1.21189,1.16457,0.65876,0.53,0.58154,0.43104,0.96594,1.03372,1.19468,0.0091255,0.0091255,0.0091255
55,16763,1.01907,1.21586,1.1638,0.66153,0.52952,0.58145,0.43094,0.9658,1.03479,1.19457,0.009109,0.009109,0.009109
56,17066.7,1.01574,1.21711,1.16382,0.66298,0.52944,0.58138,0.43081,0.96576,1.03522,1.1945,0.0090925,0.0090925,0.0090925
57,17371,1.01671,1.21268,1.16208,0.6609,0.53136,0.58158,0.43137,0.96575,1.03644,1.19465,0.009076,0.009076,0.009076
58,17674.8,1.01423,1.22013,1.16541,0.6618,0.52981,0.58157,0.43128,0.96598,1.03759,1.19473,0.0090595,0.0090595,0.0090595
59,17978.9,1.01818,1.21386,1.16423,0.66109,0.53054,0.58184,0.43143,0.96588,1.0389,1.19472,0.009043,0.009043,0.009043
60,18283.1,1.01612,1.20947,1.16423,0.66246,0.52999,0.58137,0.43139,0.96605,1.03979,1.19484,0.0090265,0.0090265,0.0090265
61,18586.3,1.01439,1.21169,1.16238,0.66375,0.52935,0.58162,0.43145,0.9658,1.04117,1.19475,0.00901,0.00901,0.00901
62,18890.8,1.00844,1.19506,1.15716,0.66195,0.52992,0.58161,0.43164,0.9655,1.0427,1.19461,0.0089935,0.0089935,0.0089935
63,19195.9,1.00972,1.19775,1.16013,0.66437,0.5267,0.58129,0.43173,0.9655,1.04404,1.19476,0.008977,0.008977,0.008977
64,19499.4,1.00166,1.19985,1.15635,0.66818,0.5235,0.58139,0.43174,0.96534,1.0458,1.19469,0.0089605,0.0089605,0.0089605
65,19803.3,1.00787,1.1891,1.15661,0.66919,0.52363,0.58108,0.43164,0.96542,1.04733,1.19485,0.008944,0.008944,0.008944
66,20107.4,1.00269,1.18921,1.1562,0.67212,0.52161,0.58081,0.43158,0.96556,1.04916,1.19498,0.0089275,0.0089275,0.0089275
67,20411.1,1.00414,1.18661,1.15211,0.67181,0.5209,0.58063,0.4316,0.96553,1.05047,1.195,0.008911,0.008911,0.008911
68,20714.9,1.00165,1.18868,1.15619,0.6722,0.52063,0.58064,0.43151,0.96537,1.05207,1.1949,0.0088945,0.0088945,0.0088945
69,21018.8,1.00251,1.19183,1.15728,0.67216,0.5208,0.58056,0.43147,0.96551,1.054,1.19489,0.008878,0.008878,0.008878
70,21321.4,1.00117,1.18655,1.15368,0.67253,0.52044,0.58051,0.43156,0.96555,1.05542,1.19478,0.0088615,0.0088615,0.0088615
71,21624.8,1.00259,1.18238,1.15104,0.67358,0.51959,0.58028,0.43155,0.96548,1.05675,1.19471,0.008845,0.008845,0.008845
72,21929.3,1.00069,1.1832,1.14853,0.67668,0.51919,0.58034,0.43137,0.96557,1.05811,1.1948,0.0088285,0.0088285,0.0088285
73,22233.6,1.00031,1.17518,1.14874,0.67408,0.5206,0.58082,0.43187,0.96576,1.05973,1.19489,0.008812,0.008812,0.008812
74,22537.6,0.99898,1.17502,1.15141,0.67417,0.52065,0.58082,0.432,0.96592,1.06079,1.19487,0.0087955,0.0087955,0.0087955
75,22841.6,1.00205,1.17517,1.15513,0.67429,0.52061,0.58108,0.43209,0.96568,1.06178,1.19485,0.008779,0.008779,0.008779
76,23145.4,1.0024,1.17418,1.15141,0.67625,0.52027,0.58112,0.4322,0.96596,1.06265,1.19507,0.0087625,0.0087625,0.0087625
77,23448.1,0.99691,1.16146,1.14715,0.67646,0.52016,0.58133,0.43263,0.96553,1.06356,1.195,0.008746,0.008746,0.008746
78,23752,0.99342,1.16493,1.14924,0.67859,0.52006,0.58155,0.43257,0.96561,1.06483,1.19515,0.0087295,0.0087295,0.0087295
79,24055.3,0.99426,1.16854,1.14965,0.68016,0.51931,0.58178,0.43272,0.96558,1.06596,1.19504,0.008713,0.008713,0.008713
80,24358.9,0.99425,1.16396,1.14835,0.67904,0.52019,0.58181,0.43296,0.96514,1.06684,1.1947,0.0086965,0.0086965,0.0086965
81,24663.2,0.99387,1.15922,1.14594,0.67954,0.51979,0.58249,0.43339,0.96484,1.06732,1.19443,0.00868,0.00868,0.00868
82,24968.3,0.99424,1.16398,1.14462,0.68422,0.51807,0.58289,0.43369,0.96441,1.06718,1.1937,0.0086635,0.0086635,0.0086635
83,25271.4,0.99717,1.17798,1.14834,0.68397,0.51893,0.58306,0.43423,0.96406,1.06708,1.19324,0.008647,0.008647,0.008647
84,25574.8,0.99007,1.15413,1.14296,0.68625,0.51933,0.58381,0.43466,0.96351,1.06644,1.19275,0.0086305,0.0086305,0.0086305
85,25877.2,0.98779,1.15772,1.14456,0.68522,0.51947,0.58418,0.43526,0.96286,1.06623,1.19224,0.008614,0.008614,0.008614
86,26180.6,0.99447,1.16237,1.1475,0.68652,0.51939,0.58479,0.43561,0.96214,1.06557,1.19145,0.0085975,0.0085975,0.0085975
87,26484.7,0.9891,1.15165,1.1397,0.68375,0.52152,0.58495,0.43569,0.9617,1.06513,1.19099,0.008581,0.008581,0.008581
88,26788.6,0.98542,1.15601,1.14229,0.68327,0.52224,0.58556,0.43637,0.96116,1.06424,1.19046,0.0085645,0.0085645,0.0085645
89,27091.5,0.98169,1.14327,1.14061,0.68421,0.52328,0.58598,0.43708,0.96016,1.06379,1.1897,0.008548,0.008548,0.008548
90,27395.6,0.98011,1.14757,1.14114,0.68298,0.52401,0.58624,0.43777,0.9597,1.06235,1.18915,0.0085315,0.0085315,0.0085315
91,27699,0.99093,1.15754,1.14407,0.68412,0.52414,0.58693,0.43831,0.95913,1.0616,1.18854,0.008515,0.008515,0.008515
92,28003.8,0.99176,1.15396,1.14545,0.68518,0.52475,0.58746,0.43905,0.95847,1.06065,1.18783,0.0084985,0.0084985,0.0084985
93,28307.5,0.9886,1.14901,1.14196,0.68325,0.52636,0.58814,0.43956,0.95774,1.05937,1.18706,0.008482,0.008482,0.008482
94,28612.1,0.99083,1.16059,1.14611,0.68215,0.52747,0.58889,0.44003,0.95689,1.05774,1.18624,0.0084655,0.0084655,0.0084655
95,28916,0.98496,1.14182,1.14247,0.68351,0.52657,0.58943,0.44072,0.95627,1.05608,1.18545,0.008449,0.008449,0.008449
96,29219.7,0.9852,1.14361,1.13995,0.68329,0.52855,0.58987,0.44137,0.95576,1.05478,1.18463,0.0084325,0.0084325,0.0084325
97,29523.3,0.98661,1.14183,1.13948,0.68298,0.52904,0.59088,0.44222,0.95495,1.05314,1.18372,0.008416,0.008416,0.008416
98,29828.2,0.98498,1.13682,1.13819,0.68312,0.52884,0.59156,0.44303,0.95408,1.0511,1.18275,0.0083995,0.0083995,0.0083995
99,30131.7,0.98429,1.13826,1.13986,0.6831,0.52966,0.59236,0.44365,0.95341,1.04958,1.18203,0.008383,0.008383,0.008383
100,30435.7,0.98495,1.13856,1.14019,0.68271,0.53037,0.59313,0.44432,0.95263,1.0477,1.18128,0.0083665,0.0083665,0.0083665
101,30740.5,0.98124,1.13488,1.1383,0.68209,0.53139,0.59374,0.44502,0.95189,1.04566,1.18038,0.00835,0.00835,0.00835
102,31044,0.98226,1.14229,1.1408,0.68183,0.53288,0.5945,0.44578,0.95119,1.04409,1.17964,0.0083335,0.0083335,0.0083335
103,31348.5,0.97835,1.13357,1.13668,0.68279,0.53448,0.59536,0.44618,0.95046,1.04178,1.17885,0.008317,0.008317,0.008317
104,31653.3,0.97376,1.13158,1.13546,0.68519,0.53372,0.59647,0.44697,0.94998,1.0394,1.17817,0.0083005,0.0083005,0.0083005
105,31956.7,0.98194,1.12933,1.13752,0.68432,0.53474,0.59765,0.44784,0.9493,1.03719,1.17724,0.008284,0.008284,0.008284
